seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid,train_loss,train_fid
0,Random,R1,1,explore,False,,nan,,0.5346497756490278,0.4653502243509721,0.5395637007098619,0.46043629929013813
0,Random,R2,2,explore,False,,nan,,0.11572587609686236,0.8842741239031376,0.1640394020094431,0.8359605979905569
0,Random,R3,3,explore,False,,nan,,0.166148679097041,0.833851320902959,0.22921287302530224,0.7707871269746978
0,Random,R4,4,explore,False,,nan,,0.3436956139052705,0.6563043860947295,0.2986612265377615,0.7013387734622385
0,Random,R5,5,explore,False,,nan,,0.37319973166552145,0.6268002683344785,0.3120777478505625,0.6879222521494375
0,Random,R6,6,explore,False,,nan,,0.504739575249094,0.49526042475090604,0.5078950138815664,0.49210498611843356
0,Greedy,G1_warm,1,explore,False,,nan,,0.11643343789411509,0.8835665621058849,0.16447715608410107,0.8355228439158989
0,Greedy,G2_warm,2,explore,False,,nan,,0.5182511913863037,0.48174880861369623,0.5302225255608903,0.46977747443910967
0,Greedy,G3_warm,3,explore,False,,nan,,0.13484123195932296,0.865158768040677,0.17861391401791893,0.8213860859820811
0,Greedy,G4_acc,4,refine,False,,0.0625,,0.08507360826552712,0.9149263917344729,0.09753270298200012,0.9024672970179999
0,Greedy,G5_acc,5,refine,False,,0.125,,0.03136494179545002,0.96863505820455,0.040700475031339334,0.9592995249686607
0,Greedy,G6_rej,6,refine,False,,0.0625,,0.06520775142535618,0.9347922485746438,0.08769279461750945,0.9123072053824905
0,LLM-Open,nn-collect-1,1,explore,False,,nan,,0.10560849051741006,0.8943915094825899,0.15008405332625407,0.8499159466737459
0,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.022715529006014812,0.9772844709939852,0.02763279973845867,0.9723672002615413
0,LLM-Open,mirror-chain-3,3,explore,False,,nan,,0.03783658068875051,0.9621634193112495,0.05486385701611218,0.9451361429838878
0,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.02100407096520429,0.9789959290347957,0.02585212084297228,0.9741478791570277
0,LLM-Open,real-collect-5,5,explore,False,,nan,,0.09116388499364947,0.9088361150063505,0.13216633856402216,0.8678336614359778
0,LLM-Open,symmetric-6,6,explore,False,,nan,,0.1254960270280744,0.8745039729719256,0.16953146766830696,0.830468532331693
1,Random,R1,1,explore,False,,nan,,0.15793174446143043,0.8420682555385696,0.2021330935359582,0.7978669064640418
1,Random,R2,2,explore,False,,nan,,0.08704544558397542,0.9129545544160246,0.09029719351155419,0.9097028064884458
1,Random,R3,3,explore,False,,nan,,0.10294602242501405,0.897053977574986,0.1301942509000069,0.8698057490999931
1,Random,R4,4,explore,False,,nan,,0.17008627899924267,0.8299137210007573,0.2146880193530989,0.7853119806469011
1,Random,R5,5,explore,False,,nan,,0.5309826198196133,0.4690173801803867,0.5357718744103002,0.4642281255896998
1,Random,R6,6,explore,False,,nan,,0.522169509199127,0.477830490800873,0.5178750045524556,0.4821249954475444
1,Greedy,G1_warm,1,explore,False,,nan,,0.0887335021220711,0.9112664978779289,0.11039587264937589,0.8896041273506241
1,Greedy,G2_warm,2,explore,False,,nan,,0.14508992324358283,0.8549100767564172,0.17459303720644992,0.8254069627935501
1,Greedy,G3_warm,3,explore,False,,nan,,0.15541538171192804,0.844584618288072,0.196744476537827,0.803255523462173
1,Greedy,G4_rej,4,refine,False,,0.0625,,0.10625275534066791,0.8937472446593321,0.1060357866714623,0.8939642133285377
1,Greedy,G5_rej,5,refine,False,,0.0625,,0.09002388875834733,0.9099761112416527,0.11143144426260199,0.888568555737398
1,Greedy,G6_rej,6,refine,False,,0.0625,,0.08931727200047757,0.9106827279995224,0.11078252885526618,0.8892174711447338
1,LLM-Open,nn-collect-1,1,explore,False,,nan,,0.11486766468505716,0.8851323353149428,0.13683349195519612,0.8631665080448039
1,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.04129550494968237,0.9587044950503176,0.03136429242727301,0.968635707572727
1,LLM-Open,mirror-chain-3,3,explore,False,,nan,,0.06817213851891657,0.9318278614810834,0.06023472327958712,0.9397652767204129
1,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.03715406682223954,0.9628459331777605,0.029946522199049586,0.9700534778009504
1,LLM-Open,real-collect-5,5,explore,False,,nan,,0.10671436759577746,0.8932856324042225,0.12074958607340047,0.8792504139265995
