seed,method,candidate,order,fallback,invalid_errors,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Evolutionary,E_child1,5,False,,0.1081601660094147,0.08640584777533655,0.10472239210610401,0.8918398339905853,0.9135941522246634,0.895277607893896
0,LLM-API-closed,real-nearest-neighbor-entangler,1,False,,0.04352771162065572,0.029510911483970226,0.043855265367729324,0.9564722883793443,0.9704890885160298,0.9561447346322707
0,LLM-API-open,center-to-latent,5,False,,0.025184507581293314,0.020170284572222585,0.029659154577328373,0.9748154924187067,0.9798297154277774,0.9703408454226716
0,LLM-chat-frozen,L2_pair_then_funnel,2,False,,0.028580366009454128,0.019778666679008516,0.03244345530180481,0.9714196339905459,0.9802213333209915,0.9675565446981952
0,RY-random,R1,1,False,,0.04720720800594436,0.03890519852072494,0.056239441037011284,0.9527927919940556,0.9610948014792751,0.9437605589629887
0,Random,R3,3,False,,0.08491802152479311,0.06368741600258387,0.08370930797704723,0.9150819784752069,0.9363125839974161,0.9162906920229528
1,Evolutionary,E_init3,3,False,,0.11922127637445912,0.10366757905470447,0.11715156968254448,0.8807787236255409,0.8963324209452955,0.8828484303174555
1,LLM-API-closed,real-even-zigzag-entangler,2,False,,0.08349981417041596,0.08457365787711846,0.08317371290914966,0.916500185829584,0.9154263421228815,0.9168262870908503
1,LLM-API-open,center-to-latent,5,False,,0.028387451865081292,0.036479445726991355,0.028707221496221846,0.9716125481349187,0.9635205542730086,0.9712927785037782
1,LLM-chat-frozen,L2_pair_then_funnel,2,False,,0.03095937521029679,0.03790702980654659,0.031114476425592952,0.9690406247897032,0.9620929701934534,0.968885523574407
1,RY-random,R8,8,False,,0.02888500233978375,0.0375708817209599,0.02927269633168117,0.9711149976602163,0.9624291182790401,0.9707273036683188
1,Random,R7,7,False,,0.11117236115191187,0.08954101959510063,0.1078416739050787,0.8888276388480881,0.9104589804048994,0.8921583260949213
2,Evolutionary,E_child3,7,False,,0.019272434845118536,0.038651409137211545,0.0282924786584704,0.9807275651548815,0.9613485908627885,0.9717075213415296
2,LLM-API-closed,real-even-parity-boundary-bond-bridge,2,False,,0.026577425930448095,0.05777740467654535,0.0400314678036513,0.9734225740695519,0.9422225953234546,0.9599685321963487
2,LLM-API-open,center-to-latent,5,False,,0.02032822473906215,0.048854796480017115,0.032779310894949565,0.9796717752609378,0.9511452035199829,0.9672206891050504
2,LLM-chat-frozen,L2_pair_then_funnel,2,False,,0.022663843295250063,0.05726267737024793,0.03770076101254982,0.9773361567047499,0.9427373226297521,0.9622992389874502
2,RY-random,R8,8,False,,0.03505873111934221,0.0750856401425759,0.05124484875532476,0.9649412688806578,0.9249143598574241,0.9487551512446752
2,Random,R8,8,False,,0.02610466360478958,0.06413640862165637,0.042853126951087894,0.9738953363952104,0.9358635913783436,0.9571468730489121
3,Evolutionary,E_init2,2,False,,0.06557948821247839,0.10115847531858246,0.08326907555035712,0.9344205117875216,0.8988415246814175,0.9167309244496429
3,LLM-API-closed,real-nn-entangle-staggered-bond-squeeze,2,False,,0.020500691910022684,0.04085547905112419,0.03060475695319198,0.9794993080899773,0.9591445209488758,0.969395243046808
3,LLM-API-open,center-to-latent,5,False,,0.01942288693039096,0.0422631728209909,0.030544813931214332,0.980577113069609,0.9577368271790091,0.9694551860687857
3,LLM-chat-frozen,L2_pair_then_funnel,2,False,,0.02246437142231128,0.05178370394471232,0.0365648658999026,0.9775356285776887,0.9482162960552877,0.9634351341000974
3,RY-random,R2,2,False,,0.0491015250672886,0.08237768607793772,0.06755845111051262,0.9508984749327114,0.9176223139220623,0.9324415488894874
3,Random,R1,1,False,,0.08326129063808296,0.1296882291339586,0.1033438142276123,0.916738709361917,0.8703117708660414,0.8966561857723877
4,Evolutionary,E_child1,5,False,,0.2048362119020397,0.23522442816933609,0.21622128633065862,0.7951637880979603,0.7647755718306639,0.7837787136693414
4,LLM-API-closed,mirror_entangle_latent_edges,2,False,,0.021825043118408827,0.02632393137052047,0.027237152761048544,0.9781749568815912,0.9736760686294795,0.9727628472389515
4,LLM-API-open,center-to-latent,5,False,,0.02293441004156338,0.02697813468711152,0.029168208735671497,0.9770655899584366,0.9730218653128885,0.9708317912643285
4,LLM-chat-frozen,L2_pair_then_funnel,2,False,,0.025377333980069805,0.03131446321617393,0.03308754737625219,0.9746226660199302,0.9686855367838261,0.9669124526237478
4,RY-random,R4,4,False,,0.05826397509571102,0.06290448016352512,0.06375952547313801,0.941736024904289,0.9370955198364749,0.936240474526862
4,Random,R7,7,False,,0.023051038507848398,0.02561679723793331,0.02846815682075743,0.9769489614921516,0.9743832027620667,0.9715318431792426
5,Evolutionary,E_child3,7,False,,0.04098692794231151,0.03870823179844918,0.039757060175590775,0.9590130720576885,0.9612917682015508,0.9602429398244092
