condition,label,factor,status,n_qubits,family,budget,model,seeds,Random_mean,Greedy_mean,LLM-Open_mean,LLM-Closed_mean,LLM-Closed_minus_LLM-Open_gain,LLM-Closed_minus_LLM-Open_ci_lo,LLM-Closed_minus_LLM-Open_ci_hi,LLM-Closed_minus_LLM-Open_p,LLM-Closed_minus_LLM-Open_wins,LLM-Open_minus_Random_gain,LLM-Open_minus_Random_ci_lo,LLM-Open_minus_Random_ci_hi,LLM-Open_minus_Random_p,LLM-Open_minus_Random_wins,LLM-Closed_minus_Random_gain,LLM-Closed_minus_Random_ci_lo,LLM-Closed_minus_Random_ci_hi,LLM-Closed_minus_Random_p,LLM-Closed_minus_Random_wins,Greedy_minus_Random_gain,Greedy_minus_Random_ci_lo,Greedy_minus_Random_ci_hi,Greedy_minus_Random_p,Greedy_minus_Random_wins,llm_valid_fraction,api_calls
reference,"Previous QAE baseline (4 qubits, TFIM, B=8, reference model)",reference,complete,4,TFIM,8,gpt-5.4-mini-2026-03-17,12,0.8520398333921618,0.8695833374149275,0.9604577002306763,0.9670889923466744,0.006631292115997824,0.0022613889850332065,0.011159657385053564,0.01220703125,11,0.10841786683851475,0.07258464959784479,0.1471098035613074,0.0009765625,11,0.11504915895451255,0.07798962515789078,0.15353088747271273,0.0009765625,11,0.017543504022765704,-0.024927953512034688,0.06245433568371157,0.5185546875,6,0.9583,64
budget_b4,B = 4,budget,complete,4,TFIM,4,gpt-5.4-mini-2026-03-17,12,0.8001275882829256,0.7520198005015639,0.8682018355785126,0.9493795691210217,0.08117773354250901,0.06021933198997681,0.09868390611409632,0.0009765625,11,0.06807424729558713,0.009604819578099453,0.1407547568730637,0.06396484375,8,0.14925198083809615,0.08484872251567867,0.23034973735126751,0.00048828125,12,-0.048107787781361634,-0.09462256471223525,-0.009567669750217887,0.01611328125,2,0.9688,40
budget_b16,B = 16,budget,complete,4,TFIM,16,gpt-5.4-mini-2026-03-17,12,0.8892519518162688,0.9069266165315071,0.968124527305294,0.9658562869028525,-0.002268240402441326,-0.007761763265531761,0.0017073827104434212,0.67724609375,9,0.07887257548902514,0.05583753414798842,0.10127093632773922,0.0009765625,11,0.07660433508658382,0.05413727317851143,0.0987640286117024,0.0009765625,11,0.01767466471523817,-0.011843507676620697,0.04671994635853132,0.30126953125,8,0.9609,117
qubits_n6,6 qubits,qubits,complete,6,TFIM,8,gpt-5.4-mini-2026-03-17,12,0.7254221793360361,0.6936106923673901,0.9222153995380729,0.8728025201143491,-0.049412879423723695,-0.07827135024131716,-0.02390977759449752,0.00048828125,0,0.19679322020203682,0.17982695431403647,0.21350184683578655,0.00048828125,12,0.14738034077831313,0.11781594468075217,0.1749000924008167,0.00048828125,12,-0.031811486968645795,-0.0688655982618612,0.0020130076239900604,0.17626953125,3,0.849,75
qubits_n8,8 qubits,qubits,complete,8,TFIM,8,gpt-5.4-mini-2026-03-17,12,0.592369581485567,0.524475149994515,0.8764815436002961,0.8012889351380444,-0.0751926084622516,-0.1320015192813291,-0.02713034918859559,0.0068359375,1,0.28411196211472906,0.2571674906637005,0.3125285489404756,0.00048828125,12,0.2089193536524775,0.15019127552300032,0.2591718792050734,0.0009765625,11,-0.06789443149105194,-0.15015524202781794,0.012398453404270132,0.20361328125,5,0.8854,73
hamiltonian_xxz,XXZ chain,hamiltonian,complete,4,XXZ,8,gpt-5.4-mini-2026-03-17,12,0.8094252289393888,0.7337846491450754,0.9215319055154426,0.9563466398855912,0.03481473437014848,0.029723839349933508,0.04063918783941167,0.00048828125,12,0.11210667657605407,0.015228210995676422,0.22078150680998856,0.791015625,5,0.14692141094620256,0.054036151337861604,0.25313121810897526,0.0009765625,11,-0.07564057979431343,-0.19372760263797364,0.0397230206355001,0.67724609375,7,0.9583,63
model_alt,Alternative model,model,complete,4,TFIM,8,gpt-4.1-mini-2025-04-14,12,0.8520398333921618,0.8695833374149275,0.9502685460225727,0.9166208843000466,-0.03364766172252606,-0.055059793775252656,-0.01139429046072855,0.05224609375,4,0.09822871263041094,0.06225526240989569,0.13659434796809963,0.0009765625,11,0.06458105090788488,0.027580684516030594,0.1083541278735572,0.0068359375,9,0.017543504022765694,-0.024927953512034688,0.06245433568371156,0.5185546875,6,0.651,79
