arch_seed,logical_two_qubit,model,representation,runtime_s,swap_est,train_size,transpiled_depth,transpiled_two_qubit
5003,4,M5_frozen,R1_raw21,19.75,1,5000,17,12
5004,0,M3_product,R1_raw21,21.16,0,5000,4,0
5004,4,M4_entangled,R1_raw21,63.83,1,5000,17,12
5004,4,M5_frozen,R1_raw21,22.33,1,5000,17,12
5000,0,M3_product,R1_raw21,118.61,0,10000,4,0
5000,8,M4_entangled,R1_raw21,41.51,5,10000,38,32
5000,8,M5_frozen,R1_raw21,111.85,5,10000,38,32
5001,0,M3_product,R1_raw21,114.6,0,10000,4,0
5001,4,M4_entangled,R1_raw21,143.96,1,10000,18,12
5001,4,M5_frozen,R1_raw21,39.62,1,10000,18,12
5002,0,M3_product,R1_raw21,39.33,0,10000,4,0
5002,4,M4_entangled,R1_raw21,46.17,2,10000,20,14
5002,4,M5_frozen,R1_raw21,45.75,2,10000,20,14
5003,0,M3_product,R1_raw21,116.25,0,10000,4,0
5003,4,M4_entangled,R1_raw21,53.66,1,10000,17,12
5003,4,M5_frozen,R1_raw21,37.8,1,10000,17,12
5004,0,M3_product,R1_raw21,116.0,0,10000,4,0
5004,4,M4_entangled,R1_raw21,132.9,1,10000,17,12
5004,4,M5_frozen,R1_raw21,104.57,1,10000,17,12
5000,0,M3_product,R1_raw21,2.07,0,500,4,0
5000,8,M4_entangled,R1_raw21,2.01,5,500,38,32
5000,8,M5_frozen,R1_raw21,1.77,5,500,38,32
5001,0,M3_product,R1_raw21,2.05,0,500,4,0
5001,4,M4_entangled,R1_raw21,2.79,1,500,18,12
5001,4,M5_frozen,R1_raw21,2.96,1,500,18,12
5002,0,M3_product,R1_raw21,1.91,0,500,4,0
5002,4,M4_entangled,R1_raw21,2.35,2,500,20,14
5002,4,M5_frozen,R1_raw21,2.27,2,500,20,14
5003,0,M3_product,R1_raw21,1.67,0,500,4,0
5003,4,M4_entangled,R1_raw21,2.95,1,500,17,12
5003,4,M5_frozen,R1_raw21,2.4,1,500,17,12
5004,0,M3_product,R1_raw21,1.81,0,500,4,0
5004,4,M4_entangled,R1_raw21,2.2,1,500,17,12
5004,4,M5_frozen,R1_raw21,2.06,1,500,17,12
5000,0,M3_product,R1_raw21,12.49,0,2000,4,0
5000,8,M4_entangled,R1_raw21,11.97,5,2000,38,32
5000,8,M5_frozen,R1_raw21,8.16,5,2000,38,32
5001,0,M3_product,R1_raw21,10.76,0,2000,4,0
5001,4,M4_entangled,R1_raw21,11.36,1,2000,18,12
5001,4,M5_frozen,R1_raw21,12.31,1,2000,18,12
5002,0,M3_product,R1_raw21,7.12,0,2000,4,0
5002,4,M4_entangled,R1_raw21,10.15,2,2000,20,14
5002,4,M5_frozen,R1_raw21,6.95,2,2000,20,14
5003,0,M3_product,R1_raw21,8.99,0,2000,4,0
5003,4,M4_entangled,R1_raw21,11.87,1,2000,17,12
5003,4,M5_frozen,R1_raw21,11.1,1,2000,17,12
5004,0,M3_product,R1_raw21,8.2,0,2000,4,0
5004,4,M4_entangled,R1_raw21,12.42,1,2000,17,12
5004,4,M5_frozen,R1_raw21,10.26,1,2000,17,12
5000,0,M3_product,R1_raw21,25.64,0,5000,4,0
5000,8,M4_entangled,R1_raw21,38.51,5,5000,38,32
5000,8,M5_frozen,R1_raw21,61.71,5,5000,38,32
5001,0,M3_product,R1_raw21,21.74,0,5000,4,0
5001,4,M4_entangled,R1_raw21,25.09,1,5000,18,12
5001,4,M5_frozen,R1_raw21,67.18,1,5000,18,12
5002,0,M3_product,R1_raw21,19.23,0,5000,4,0
5002,4,M4_entangled,R1_raw21,22.34,2,5000,20,14
5002,4,M5_frozen,R1_raw21,19.93,2,5000,20,14
5003,0,M3_product,R1_raw21,26.12,0,5000,4,0
5003,4,M4_entangled,R1_raw21,36.03,1,5000,17,12
5003,4,M5_frozen,R1_raw21,17.09,1,5000,17,12
5004,0,M3_product,R1_raw21,13.77,0,5000,4,0
5004,4,M4_entangled,R1_raw21,35.3,1,5000,17,12
5004,4,M5_frozen,R1_raw21,28.08,1,5000,17,12
5000,0,M3_product,R1_raw21,164.2,0,10000,4,0
5000,8,M4_entangled,R1_raw21,182.25,5,10000,38,32
5000,8,M5_frozen,R1_raw21,110.34,5,10000,38,32
5001,0,M3_product,R1_raw21,153.78,0,10000,4,0
5001,4,M4_entangled,R1_raw21,65.87,1,10000,18,12
5001,4,M5_frozen,R1_raw21,53.68,1,10000,18,12
5002,0,M3_product,R1_raw21,51.5,0,10000,4,0
5002,4,M4_entangled,R1_raw21,51.93,2,10000,20,14
5002,4,M5_frozen,R1_raw21,52.08,2,10000,20,14
5003,0,M3_product,R1_raw21,48.86,0,10000,4,0
5003,4,M4_entangled,R1_raw21,65.35,1,10000,17,12
5003,4,M5_frozen,R1_raw21,136.01,1,10000,17,12
5004,0,M3_product,R1_raw21,150.22,0,10000,4,0
5004,4,M4_entangled,R1_raw21,168.72,1,10000,17,12
5004,4,M5_frozen,R1_raw21,58.62,1,10000,17,12
5000,0,M3_product,R1_raw21,2.02,0,500,4,0
5000,8,M4_entangled,R1_raw21,3.0,5,500,38,32
5000,8,M5_frozen,R1_raw21,2.83,5,500,38,32
5001,0,M3_product,R1_raw21,2.27,0,500,4,0
5001,4,M4_entangled,R1_raw21,2.81,1,500,18,12
5001,4,M5_frozen,R1_raw21,2.93,1,500,18,12
5002,0,M3_product,R1_raw21,2.69,0,500,4,0
5002,4,M4_entangled,R1_raw21,2.8,2,500,20,14
5002,4,M5_frozen,R1_raw21,1.7,2,500,20,14
5003,0,M3_product,R1_raw21,1.9,0,500,4,0
5003,4,M4_entangled,R1_raw21,1.71,1,500,17,12
5003,4,M5_frozen,R1_raw21,1.52,1,500,17,12
5004,0,M3_product,R1_raw21,3.5,0,500,4,0
5004,4,M4_entangled,R1_raw21,3.33,1,500,17,12
5004,4,M5_frozen,R1_raw21,3.0,1,500,17,12
5000,0,M3_product,R1_raw21,6.63,0,2000,4,0
5000,8,M4_entangled,R1_raw21,6.52,5,2000,38,32
5000,8,M5_frozen,R1_raw21,6.36,5,2000,38,32
5001,0,M3_product,R1_raw21,5.99,0,2000,4,0
5001,4,M4_entangled,R1_raw21,10.44,1,2000,18,12
5001,4,M5_frozen,R1_raw21,10.13,1,2000,18,12
5002,0,M3_product,R1_raw21,7.07,0,2000,4,0
5002,4,M4_entangled,R1_raw21,9.64,2,2000,20,14
5002,4,M5_frozen,R1_raw21,6.9,2,2000,20,14
5003,0,M3_product,R1_raw21,8.23,0,2000,4,0
5003,4,M4_entangled,R1_raw21,8.5,1,2000,17,12
5003,4,M5_frozen,R1_raw21,6.4,1,2000,17,12
5004,0,M3_product,R1_raw21,8.76,0,2000,4,0
5004,4,M4_entangled,R1_raw21,10.74,1,2000,17,12
5004,4,M5_frozen,R1_raw21,6.15,1,2000,17,12
5000,0,M3_product,R1_raw21,24.14,0,5000,4,0
5000,8,M4_entangled,R1_raw21,39.59,5,5000,38,32
