arch,block,seed,trainable_logloss,frozen_logloss,diff_frozen_minus_trainable
0,0,0,0.7596868705375823,0.7675759056522765,0.007889035114694187
0,0,1,0.8000491272275593,0.7883735099748611,-0.011675617252698167
1,0,0,0.794986782785573,0.7574599399301324,-0.03752684285544061
1,0,1,0.7503615230573121,0.7593283669557969,0.008966843898484789
2,0,0,0.7770638924577005,0.776207176857817,-0.0008567155998834286
2,0,1,0.7867901075428877,0.7730620565802945,-0.013728050962593219
3,0,0,0.7384853926339077,0.7483359907357431,0.009850598101835417
3,0,1,0.7670689884044866,0.7337626366138736,-0.03330635179061292
4,0,0,0.7885459636592463,0.772746482625986,-0.015799481033260343
4,0,1,0.8254506324591202,0.8042899377513565,-0.021160694707763716
5,0,0,0.761736831544911,0.76679301597419,0.00505618442927902
5,0,1,0.8224805795832053,0.8138324315525938,-0.008648148030611535
6,0,0,0.7541592996584124,0.7829243855548637,0.028765085896451215
6,0,1,0.7998346356278992,0.7600934102899114,-0.03974122533798785
7,0,0,0.7906256203388355,0.7540992349556251,-0.0365263853832104
7,0,1,0.7633667440781666,0.749121208622758,-0.014245535455408631
8,0,0,0.8012687946052751,0.7327327017708408,-0.06853609283443429
8,0,1,0.7322374284793103,0.7340108465591155,0.0017734180798052446
9,0,0,0.7574294062079785,0.7554760247858576,-0.00195338142212087
9,0,1,0.7474744128799055,0.7358322532643455,-0.011642159615559922
10,0,0,0.7700252788047683,0.7572299056126268,-0.012795373192141524
10,0,1,0.7576807671460352,0.7870787789353411,0.0293980117893059
11,0,0,0.8124417313104152,0.8124417313104154,2.220446049250313e-16
11,0,1,0.7954863343626783,0.7954863343626786,2.220446049250313e-16
12,0,0,0.7974783067897371,0.7413035578457909,-0.05617474894394614
12,0,1,0.7576942039865548,0.7802409980056175,0.022546794019062677
13,0,0,0.7599341802221953,0.7489842132347874,-0.01094996698740791
13,0,1,0.7748408959345524,0.7696813137281224,-0.00515958220642998
14,0,0,0.7629339262996626,0.7557306936728633,-0.0072032326267993385
14,0,1,0.7593978381339798,0.7529440580921903,-0.006453780041789425
15,0,0,0.7948848928446478,0.7436113291298102,-0.0512735637148376
15,0,1,0.769465948357473,0.7698436181548538,0.00037766979738085293
