block,seed,baseline,total_params,test_logloss,test_auc,test_accuracy
0,0,C0_majority,0,0.6916904772869695,0.5,0.527
0,0,C1_logreg,9,0.7004151847559652,0.49615177858635784,0.5125
0,0,C2_linear_svm_cal,,0.6923256244165049,0.46614527963541685,0.5275
0,0,C3_rbf_svm_cal,,0.6911669707819783,0.5207655523506545,0.5225
0,0,C4_hist_gb,,0.714634703135441,0.5096737085340854,0.5255
0,0,C5_random_forest,,0.6959610464092805,0.5037900517910227,0.518
0,0,C6_fixed_mlp,51,0.7350742348367683,0.5097534410340553,0.513
0,0,C7_fair_nas,55,0.6916884718628983,0.5,0.527
0,1,C0_majority,0,0.6916904772869695,0.5,0.527
0,1,C1_logreg,9,0.7004151847559652,0.49615177858635784,0.5125
0,1,C2_linear_svm_cal,,0.6923256244165049,0.46614527963541685,0.5275
0,1,C3_rbf_svm_cal,,0.6911669707819783,0.5207655523506545,0.5225
0,1,C4_hist_gb,,0.714634703135441,0.5096737085340854,0.5255
0,1,C5_random_forest,,0.6959610464092805,0.5037900517910227,0.518
0,1,C6_fixed_mlp,51,0.7651402013093029,0.5035122416967879,0.501
0,1,C7_fair_nas,55,0.6917090873705714,0.5,0.527
0,2,C0_majority,0,0.6916904772869695,0.5,0.527
0,2,C1_logreg,9,0.7004151847559652,0.49615177858635784,0.5125
0,2,C2_linear_svm_cal,,0.6923256244165049,0.46614527963541685,0.5275
0,2,C3_rbf_svm_cal,,0.6911669707819783,0.5207655523506545,0.5225
0,2,C4_hist_gb,,0.714634703135441,0.5096737085340854,0.5255
0,2,C5_random_forest,,0.6959610464092805,0.5037900517910227,0.518
0,2,C6_fixed_mlp,51,0.7302422179932544,0.514366893862503,0.52
0,2,C7_fair_nas,55,0.69173655284868,0.5,0.527
1,0,C0_majority,0,0.6916904772869695,0.5,0.527
1,0,C1_logreg,9,0.6959056422873234,0.5108305819770451,0.5175
1,0,C2_linear_svm_cal,,0.6916591964757888,0.5049835319792515,0.529
1,0,C3_rbf_svm_cal,,0.690207798332616,0.5353821744206105,0.535
1,0,C4_hist_gb,,0.7107298946881979,0.5214345030107794,0.5175
1,0,C5_random_forest,,0.692670736794024,0.5184347557477604,0.5355
1,0,C6_fixed_mlp,51,0.7269897785946354,0.5180105186724488,0.504
1,0,C7_fair_nas,55,0.6916884719697145,0.5,0.527
1,1,C0_majority,0,0.6916904772869695,0.5,0.527
1,1,C1_logreg,9,0.6959056422873234,0.5108305819770451,0.5175
1,1,C2_linear_svm_cal,,0.6916591964757888,0.5049835319792515,0.529
1,1,C3_rbf_svm_cal,,0.690207798332616,0.5353821744206105,0.535
1,1,C4_hist_gb,,0.7107298946881979,0.5214345030107794,0.5175
1,1,C5_random_forest,,0.692670736794024,0.5184347557477604,0.5355
1,1,C6_fixed_mlp,51,0.7178041522470825,0.5183013667855467,0.517
1,1,C7_fair_nas,55,0.7069530639200252,0.5268833919709874,0.5215
1,2,C0_majority,0,0.6916904772869695,0.5,0.527
1,2,C1_logreg,9,0.6959056422873234,0.5108305819770451,0.5175
1,2,C2_linear_svm_cal,,0.6916591964757888,0.5049835319792515,0.529
1,2,C3_rbf_svm_cal,,0.690207798332616,0.5353821744206105,0.535
1,2,C4_hist_gb,,0.7107298946881979,0.5214345030107794,0.5175
1,2,C5_random_forest,,0.692670736794024,0.5184347557477604,0.5355
1,2,C6_fixed_mlp,51,0.7355732775550113,0.5126368490518352,0.511
1,2,C7_fair_nas,61,0.6999560045289277,0.5227533487649987,0.5195
2,0,C0_majority,0,0.6916904772869695,0.5,0.527
2,0,C1_logreg,9,0.6989512475871612,0.5135896273533624,0.53
2,0,C2_linear_svm_cal,,0.692386284367531,0.4969210216992751,0.523
2,0,C3_rbf_svm_cal,,0.6925634942711749,0.4880120431177313,0.525
2,0,C4_hist_gb,,0.7225536059817872,0.5168145311729001,0.517
2,0,C5_random_forest,,0.6936548296639833,0.5283336208383647,0.531
2,0,C6_fixed_mlp,51,0.7371194752546948,0.5158050876355452,0.52
2,0,C7_fair_nas,41,0.7059788443627945,0.5131353025422132,0.5295
2,1,C0_majority,0,0.6916904772869695,0.5,0.527
2,1,C1_logreg,9,0.6989512475871612,0.5135896273533624,0.53
2,1,C2_linear_svm_cal,,0.692386284367531,0.4969210216992751,0.523
2,1,C3_rbf_svm_cal,,0.6925634942711749,0.4880120431177313,0.525
2,1,C4_hist_gb,,0.7225536059817872,0.5168145311729001,0.517
2,1,C5_random_forest,,0.6936548296639833,0.5283336208383647,0.531
2,1,C6_fixed_mlp,51,0.7176816967840455,0.5024381095273818,0.4945
2,1,C7_fair_nas,41,0.6993927482060344,0.5254482069715289,0.5175
2,2,C0_majority,0,0.6916904772869695,0.5,0.527
2,2,C1_logreg,9,0.6989512475871612,0.5135896273533624,0.53
2,2,C2_linear_svm_cal,,0.692386284367531,0.4969210216992751,0.523
2,2,C3_rbf_svm_cal,,0.6925634942711749,0.4880120431177313,0.525
2,2,C4_hist_gb,,0.7225536059817872,0.5168145311729001,0.517
2,2,C5_random_forest,,0.6936548296639833,0.5283336208383647,0.531
2,2,C6_fixed_mlp,51,0.7601842237047576,0.4980804024535546,0.513
2,2,C7_fair_nas,51,0.7094361958876569,0.5180065069743371,0.522
3,0,C0_majority,0,0.6916904772869695,0.5,0.527
3,0,C1_logreg,9,0.6966670469626188,0.5288290655551589,0.533
3,0,C2_linear_svm_cal,,0.6920777960959694,0.5156967717865295,0.5305
3,0,C3_rbf_svm_cal,,0.6875478102278317,0.5513497358296794,0.534
3,0,C4_hist_gb,,0.7218167392564329,0.5203899571149473,0.516
3,0,C5_random_forest,,0.6941166586465924,0.5299754082905752,0.527
3,0,C6_fixed_mlp,51,0.7112593072781839,0.5372004765897356,0.5385
3,0,C7_fair_nas,41,0.7162768733709567,0.5205589498979023,0.539
3,1,C0_majority,0,0.6916904772869695,0.5,0.527
3,1,C1_logreg,9,0.6966670469626188,0.5288290655551589,0.533
3,1,C2_linear_svm_cal,,0.6920777960959694,0.5156967717865295,0.5305
3,1,C3_rbf_svm_cal,,0.6875478102278317,0.5513497358296794,0.534
3,1,C4_hist_gb,,0.7218167392564329,0.5203899571149473,0.516
3,1,C5_random_forest,,0.6941166586465924,0.5299754082905752,0.527
3,1,C6_fixed_mlp,51,0.7221548292778489,0.524924680367953,0.5225
3,1,C7_fair_nas,41,0.7020156462885536,0.5482186054535024,0.54
3,2,C0_majority,0,0.6916904772869695,0.5,0.527
3,2,C1_logreg,9,0.6966670469626188,0.5288290655551589,0.533
3,2,C2_linear_svm_cal,,0.6920777960959694,0.5156967717865295,0.5305
