block,structural_hash,depth,two_qubit_gate_count,total_trainable_params,val_logloss,transpiled_two_qubit,transpiled_depth,wall_clock_seconds
0,7f83590adc27,8,3,53,0.7865834373529643,3,12,2.9947
0,8003fa6cf58d,13,10,53,0.782156166579291,24,28,3.0083
0,80efcde460dd,4,0,53,0.7569388450191035,0,4,2.1481
0,82741cbc2658,14,11,53,0.7542762989539343,37,42,3.2662
0,82a6995d4eda,16,12,53,0.8256794724788546,42,40,3.5406
0,83ecfe77fb76,12,11,53,0.8094522121055627,33,37,2.9992
0,84bb2188d74a,8,3,53,0.8334307403944661,3,11,2.7624
0,856364fe2ab6,10,7,53,0.7952208521394111,19,27,2.7108
0,85cb01183148,15,14,53,0.7700141089154761,34,36,3.0813
0,85fdea6b8d65,7,3,53,0.8238971632677083,3,11,2.7865
0,880b6af94720,10,7,53,0.7324314658306904,19,27,2.4981
0,893d3e652a17,10,4,53,0.8036825664836941,10,16,2.9154
0,8b3f5c70e7ed,13,11,53,0.8294258011941128,33,34,2.8918
0,8b975a728ca1,7,4,53,0.7198237851627336,12,17,2.3912
0,8e249f067bad,18,15,53,0.7088903348687725,50,55,3.4647
0,8fea3c837ab6,15,12,53,0.8078404212289836,46,45,2.984
0,9004f02d23b4,11,8,53,0.7864862574378298,30,38,2.6964
0,913bd60e734f,8,4,53,0.7372653911966219,10,16,2.4626
0,94625a2b807a,8,4,53,0.7421010712896853,10,18,2.5195
0,94ad0cdd7b0a,6,0,53,0.7489383672470613,0,4,2.7167
0,95b94d178edd,10,8,53,0.7306729756668555,28,33,2.4965
0,97a9fea463c4,7,3,53,0.80685922328891,6,14,2.9036
0,97fc797ea1be,8,4,53,0.7730161434735312,10,12,2.3252
0,99bd7cb33a0a,14,14,53,0.7698679014627557,38,42,3.1847
0,9ad604f29ffc,10,6,53,0.8173927243401427,12,20,2.5232
0,9ceb2d4f4a42,7,4,53,0.7882170670276402,14,21,2.3673
0,9d3d9df7db75,9,6,53,0.7763369270667824,12,15,2.7025
0,9d5a063356a2,17,15,53,0.7847842579711107,49,46,2.896
0,9eaeedb418c6,13,10,53,0.8154806735902927,29,34,3.2248
0,a311400ce9ef,13,11,53,0.782417899548768,31,33,2.9512
0,a5d4bf93423d,12,10,53,0.7959779768878603,27,35,3.7821
0,a5f93a95abca,10,7,53,0.7113759949900125,19,28,3.064
0,a70ed100eec4,7,3,53,0.7602756511495632,3,11,2.4287
0,a78aba63a411,8,3,53,0.8439576498049783,3,8,2.6217
0,a7b79167a48b,7,4,53,0.769635034330421,12,17,2.525
0,a7e735c5993c,15,11,53,0.7916272992571024,36,45,3.19
0,a998529ff2da,11,9,53,0.7967267510948177,9,16,2.8692
0,aa3d4c3cb630,10,7,53,0.7733434620958077,18,25,2.6486
0,aac25e7d8468,4,0,53,0.7584265186287773,0,4,2.1196
0,aac25e7d8468,4,0,53,0.7536515822844359,0,4,2.2727
0,ac61e43f3f21,7,0,53,0.7595868936119055,0,7,2.8516
0,ac74fcef1f25,11,10,53,0.7431917816702412,18,25,2.9036
0,ad31888f15f0,10,7,53,0.7296285410645289,23,34,2.6304
0,ae6343d66770,7,4,53,0.770984752444973,12,17,2.4452
0,aea67b7c2242,9,6,53,0.7357931875143747,12,25,2.6404
0,af0a201762aa,10,8,53,0.73161263543459,28,33,2.8281
0,aff2f1d6be55,12,7,53,0.7861952291156474,19,27,2.9852
0,b36ca4190dde,12,9,53,0.8535573179964103,18,29,2.9252
0,b38162d761bf,11,9,53,0.833620106195,9,16,3.0433
0,b393daf5dc0a,7,3,53,0.7769027697823154,6,11,2.3166
0,b62ea45650c8,20,18,53,0.8116837024528907,55,56,3.1215
0,b911c67dae93,12,7,53,0.8580638473117426,16,26,3.4509
0,ba93c591a12a,7,3,53,0.7846791561101208,3,11,2.4588
0,bdcad8be0e2e,16,14,53,0.7633814959420406,46,51,3.3936
0,be2d3fd6e5a9,4,0,53,0.7830198621394026,0,4,2.1727
0,bf1593c370d7,13,11,53,0.749458815995999,33,39,2.9943
0,c03561287602,6,0,53,0.7606690172994917,0,6,2.7137
0,c06044b25e7e,8,3,53,0.7711858212211102,6,16,2.7052
0,c19525470e9c,11,8,53,0.8372305198546031,26,30,3.002
0,c527d4e4bea6,5,0,53,0.7549244591101933,0,5,2.3925
0,c7e02d89194a,10,6,53,0.7657066332307852,6,10,2.7047
0,c7f863da692b,12,11,53,0.7964860721722284,35,38,2.6284
0,ca727d89e66c,8,3,53,0.7885750863028095,3,12,2.8495
0,cb5372fefdbe,8,3,53,0.745339921596918,3,8,2.5638
0,cc7ef5e32419,10,8,53,0.7615428725935007,32,38,2.7245
0,cd763c399386,10,7,53,0.7660635438003612,23,36,2.8039
0,cd83f6e9cb10,10,4,53,0.7820873691186289,10,19,2.9803
0,cf282fddf3fc,8,3,53,0.805267751860272,3,12,2.7081
0,d1b5248a49c2,11,8,53,0.7390853766347375,28,33,2.5647
0,d28bc0c48242,10,7,53,0.7577016914631037,19,28,2.7608
0,d2a2f861d2f1,9,4,53,0.8942505300438366,10,18,2.8097
0,d3a2faff38e1,12,8,53,0.8213497477054656,26,34,3.0609
0,d45c1574c4c0,5,0,53,0.7452105552215958,0,5,2.4185
0,d48f3cbc620e,8,3,53,0.7657005884299013,6,19,2.7019
0,d4a0a85e103c,14,11,53,0.7541468953853313,29,36,3.0724
0,d5bb027f1e42,10,6,53,0.759708766875279,12,19,2.7192
0,d87f6b00d8b8,7,3,53,0.7957954213684013,6,13,2.3657
0,d885d2bef868,10,8,53,0.7779127158528001,30,36,2.5217
0,d97ccd04f4f5,7,4,53,0.748747571733742,14,20,2.4964
0,d981e63a9ca3,7,3,53,0.7562126713161565,6,13,2.2556
0,d9f38a8cf7b8,8,4,53,0.7788841244259648,10,13,2.7298
0,db9e5810dda9,10,7,53,0.7284110643396075,19,28,2.6557
0,dd3d12e5859e,13,10,53,0.7774528273110008,26,32,2.8526
0,e034a8f3e690,10,7,53,0.7560028507633259,18,25,2.6562
0,e13f09b8a58a,4,0,53,0.7434202295546882,0,4,2.1248
0,e24defbc30f9,12,10,53,0.809621490211091,18,26,3.1459
0,e425705d298f,10,6,53,0.7703402752979559,6,14,2.9258
0,e556967495b4,7,3,53,0.7634536474504348,3,7,2.2799
0,e569a4ad9f3f,15,14,53,0.7727679204306931,34,37,3.1065
0,e603adab834b,8,4,53,0.7480523239506033,10,17,2.5015
0,e6a1abd9ed6a,11,8,53,0.7984354395091058,28,35,2.7294
0,e6ef0fc23911,4,0,53,0.7975533196848713,0,4,2.1677
0,e7a113149909,12,11,53,0.8049756160703293,35,40,2.7768
0,ec0461cdde93,13,8,53,0.7666695654318513,26,34,3.0042
0,ec3d3cfa1e99,13,11,53,0.7647205205968233,37,37,2.7134
0,ed9992583ace,14,11,53,0.7892027280594245,29,34,3.0438
0,ef34cf24eca2,14,10,53,0.8307398082104597,28,33,2.8732
0,effb0556a789,11,7,53,0.7820239068508591,21,28,2.816
0,f2442c369b58,7,4,53,0.7614235330011996,12,17,2.3836
0,f2442c369b58,7,4,53,0.76328585227958,12,17,2.3112
0,f4cb7a4c121f,11,7,53,0.729449436356439,18,23,2.7409
0,f4f35784d93a,5,0,53,0.7508423815964144,0,5,2.4164
0,f58e85e5f2fc,7,4,53,0.7439007119512961,12,17,2.3865
0,f7d45e3155b1,17,14,53,0.809653144863874,46,53,3.3653
0,f807f337afdd,8,4,53,0.804191703739322,10,17,2.5386
0,fd403ab3ad13,10,7,53,0.7442976891364366,21,26,2.7551
0,fd77ebb0115c,7,3,53,0.7416425474330345,3,11,2.4491
