method,candidates_used,best_so_far_test_fid
Greedy,1,0.6885360143848094
Greedy,2,0.7399499448515537
Greedy,3,0.8101874129197162
Greedy,4,0.8537226834981144
Greedy,5,0.8585203610804283
Greedy,6,0.8585203610804283
Greedy,7,0.8585203610804283
Greedy,8,0.8585203610804283
Greedy,9,0.8685479083993273
Greedy,10,0.8695502049866358
Greedy,11,0.8726468051610695
Greedy,12,0.8788781000941586
Greedy,13,0.8788262841241199
Greedy,14,0.8790479571501034
Greedy,15,0.9024967835367415
Greedy,16,0.906926616531507
LLM-Closed,1,0.9284123703956798
LLM-Closed,2,0.9292199389101116
LLM-Closed,3,0.9351413981144766
LLM-Closed,4,0.9406091049692625
LLM-Closed,5,0.9406091049692625
LLM-Closed,6,0.9436020387724297
LLM-Closed,7,0.9479989196348391
LLM-Closed,8,0.9546297943576652
LLM-Closed,9,0.9626460077986336
LLM-Closed,10,0.9645998187028852
LLM-Closed,11,0.9666124986317213
LLM-Closed,12,0.9666124986317213
LLM-Closed,13,0.965820378750952
LLM-Closed,14,0.9658562869028526
LLM-Closed,15,0.9658562869028526
LLM-Closed,16,0.9658562869028526
LLM-Open,1,0.8770458733164871
LLM-Open,2,0.8816368314353679
LLM-Open,3,0.9677872688383475
LLM-Open,4,0.9677872688383475
LLM-Open,5,0.9677872688383475
LLM-Open,6,0.9677872688383475
LLM-Open,7,0.9677872688383475
LLM-Open,8,0.9677872688383475
LLM-Open,9,0.9677872688383475
LLM-Open,10,0.9677872688383475
LLM-Open,11,0.9681346406531904
LLM-Open,12,0.9681346406531904
LLM-Open,13,0.968124527305294
LLM-Open,14,0.968124527305294
LLM-Open,15,0.968124527305294
LLM-Open,16,0.968124527305294
Random,1,0.6835994187991417
Random,2,0.7606461835673172
Random,3,0.7789417898715486
Random,4,0.8001275882829256
Random,5,0.8032062989937714
Random,6,0.8357474558008328
Random,7,0.8483894856162154
Random,8,0.8520398333921618
Random,9,0.8616989121991718
Random,10,0.8606156310144137
Random,11,0.8606156310144137
Random,12,0.8848251535869381
Random,13,0.8871604121438258
Random,14,0.8867318947042427
Random,15,0.8892519518162688
Random,16,0.8892519518162688
