split,seed,model,val_rmse,test_rmse,total_params
0,0,C1_bottleneck,0.05396942944405953,0.05630752957383891,93
0,0,C2_param_matched_mlp,0.016205743347585122,0.018528773882750475,107
0,0,C3_classical_search,0.024380655421993712,0.025979218031866372,107
0,1,C1_bottleneck,0.0496707567280341,0.051188766063054524,93
0,1,C2_param_matched_mlp,0.03791400469361847,0.0334726491672344,107
0,1,C3_classical_search,0.023134495060647013,0.022903913054646494,93
0,2,C1_bottleneck,0.05034830902222684,0.05168116793023612,93
0,2,C2_param_matched_mlp,0.037231453394267505,0.03878566933308482,107
0,2,C3_classical_search,0.02292122105819642,0.02421273137004848,93
0,3,C1_bottleneck,0.04836230906935711,0.05121898108729612,93
0,3,C2_param_matched_mlp,0.03179543226892428,0.029530757999248057,107
0,3,C3_classical_search,0.018708514648573274,0.020496336604213256,101
0,4,C1_bottleneck,0.06183637810905433,0.06298399186543982,93
0,4,C2_param_matched_mlp,0.020016833127849343,0.0228860801422516,107
0,4,C3_classical_search,0.01926334613185221,0.020329530567322677,107
0,5,C1_bottleneck,0.04597521356014268,0.047231630131730706,93
0,5,C2_param_matched_mlp,0.03302950221132154,0.03471904742160454,107
0,5,C3_classical_search,0.029042520015108174,0.030401945769787848,107
0,6,C1_bottleneck,0.049589162520630975,0.05113137359085242,93
0,6,C2_param_matched_mlp,0.03189312117156485,0.03406939325095219,107
0,6,C3_classical_search,0.022434438079152238,0.023865983862469266,101
0,7,C1_bottleneck,0.053047494274538504,0.05382867684129287,93
0,7,C2_param_matched_mlp,0.027728462673959682,0.030901938381167397,107
0,7,C3_classical_search,0.02083880511827738,0.024401310406197762,93
0,8,C1_bottleneck,0.04295007882631636,0.045682516088321676,93
0,8,C2_param_matched_mlp,0.024970520946543753,0.026137481336234444,107
0,8,C3_classical_search,0.025317404755000848,0.023868656048582088,107
0,9,C1_bottleneck,0.04725025062391722,0.048156364312113134,93
0,9,C2_param_matched_mlp,0.023217847630210568,0.023566504252108576,107
0,9,C3_classical_search,0.024357880051080187,0.026930561912753677,101
1,0,C1_bottleneck,0.054471922250467,0.053282856366027566,93
1,0,C2_param_matched_mlp,0.026802342418052617,0.027117429781671146,107
1,0,C3_classical_search,0.020293967812505115,0.020000287574892674,101
1,1,C1_bottleneck,0.05313390503677196,0.051903035706808466,93
1,1,C2_param_matched_mlp,0.031180034670692813,0.031221306312804058,107
1,1,C3_classical_search,0.019220928085319482,0.020738634193853064,93
1,2,C1_bottleneck,0.053361898064043144,0.05243026524216095,93
1,2,C2_param_matched_mlp,0.02418000609163695,0.02294764583306993,107
1,2,C3_classical_search,0.02348411442640241,0.02361954517899198,101
1,3,C1_bottleneck,0.05622034069704938,0.05523828698792375,93
1,3,C2_param_matched_mlp,0.020589371268402466,0.021119135282213947,107
1,3,C3_classical_search,0.02780914428876119,0.027056579123969818,107
1,4,C1_bottleneck,0.04629496823607708,0.04672334790229726,93
1,4,C2_param_matched_mlp,0.02265465093102862,0.023443233698097626,107
1,4,C3_classical_search,0.02815067479449765,0.02851452522120978,116
1,5,C1_bottleneck,0.055665614025277886,0.05512188934290722,93
1,5,C2_param_matched_mlp,0.028337875588938535,0.027917244448231956,107
1,5,C3_classical_search,0.02740991524900296,0.02785241278830305,107
1,6,C1_bottleneck,0.05448736788146726,0.054481667571503446,93
1,6,C2_param_matched_mlp,0.028191790714957924,0.02872564376505391,107
1,6,C3_classical_search,0.02237745052732468,0.02392660420861691,116
1,7,C1_bottleneck,0.05485654347537955,0.05356485359551274,93
1,7,C2_param_matched_mlp,0.03791368489363242,0.03634949389471603,107
1,7,C3_classical_search,0.02227372826671381,0.023270217333235095,116
1,8,C1_bottleneck,0.05357004698640184,0.0523952202780135,93
1,8,C2_param_matched_mlp,0.020932817470320286,0.02175718245308704,107
1,8,C3_classical_search,0.02252502509833218,0.023033227513252937,107
1,9,C1_bottleneck,0.05059148362944121,0.04956658959699783,93
1,9,C2_param_matched_mlp,0.02195355297182169,0.02182368348175149,107
1,9,C3_classical_search,0.024596550270878904,0.02375332935806874,107
2,0,C1_bottleneck,0.042409834231039514,0.04845595901649134,93
