split,structural_hash,encoding_type,n_qubits,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds
0,005d7b264dde,angle,4,8,20,4,88,12,5,105,0.020641242337585824,0.8161
0,0197b783381d,angle,4,9,22,6,88,12,5,105,0.018154299709019203,0.9143
0,033c5fee95b1,angle,4,13,26,10,88,12,5,105,0.028017440559495226,0.9649
0,0357d06265f9,angle,4,5,20,0,88,12,5,105,0.03367603485919433,0.7888
0,037d845b6f99,angle,4,10,26,6,88,12,5,105,0.03591130914484307,0.8878
0,039777494530,angle,4,12,22,10,88,12,5,105,0.018771494595387198,0.8799
0,03daf92c6c85,angle,4,14,27,11,88,12,5,105,0.01691382886403494,1.0995
0,063c0eeb8615,angle,4,10,22,6,88,12,5,105,0.025727026739769187,0.8493
0,06e54132b919,angle,4,9,22,6,88,12,5,105,0.016953264995448313,0.9499
0,072cfdb1254a,angle,4,10,23,7,88,12,5,105,0.01796211929567014,0.8181
0,076e317b11ab,angle,4,14,26,10,88,12,5,105,0.018221145054063963,1.0533
0,07b16a99f569,angle,4,4,16,0,88,12,5,105,0.03477233383242371,0.7093
0,07b16a99f569,angle,4,4,16,0,88,12,5,105,0.03559550179847146,0.7889
0,07b16a99f569,angle,4,4,16,0,88,12,5,105,0.03505047136056801,0.731
0,0829f65f5f26,angle,4,13,25,9,88,12,5,105,0.03340817874467965,1.0247
0,08e20ad7d716,angle,4,4,16,0,88,12,5,105,0.038083052770565284,0.6915
0,08e20ad7d716,angle,4,4,16,0,88,12,5,105,0.03255379860668344,0.7054
0,08e20ad7d716,angle,4,4,16,0,88,12,5,105,0.044028163242096234,0.6667
0,0923951a0587,angle,4,14,26,10,88,12,5,105,0.020057491696220495,0.9551
0,09987dd07006,angle,4,14,26,10,88,12,5,105,0.02341385890808983,0.9414
0,09b2eccb019d,angle,4,15,24,12,88,12,5,105,0.03404623327530455,0.9824
0,0a0ec1d37b3a,angle,4,11,20,8,88,12,5,105,0.03808611723075403,0.9128
