estimator,split,val_rmse,test_rmse,val_failures,test_failures
A1_argmax,0,0.014853781580375652,0.014634690283045973,0,0
A2_quadratic_peak,0,0.005141772909437637,0.005364250146090854,0,0
A3_weighted_centroid,0,0.006380341282789884,0.006583101395136599,0,0
A4_gaussian_nlls,0,0.0010807844938079266,0.0010565297817906449,0,0
A1_argmax,1,0.01411068874811403,0.014513408561207019,0,0
A2_quadratic_peak,1,0.0051034725400879374,0.005238289687772007,0,0
A3_weighted_centroid,1,0.0058764252269645715,0.006107536549874719,0,0
A4_gaussian_nlls,1,0.0007958436966512398,0.0012603818206800839,0,0
A1_argmax,2,0.014387740477195963,0.014453886149401528,0,0
A2_quadratic_peak,2,0.005304470326315872,0.005593018385456211,0,0
A3_weighted_centroid,2,0.005486030038068147,0.006192476673416069,0,0
A4_gaussian_nlls,2,0.0010320940845603835,0.0011608933711153213,0,0
