run_id,arm,split,seed,consumed_budget,num_valid,num_invalid,num_duplicate,num_failed,num_unique,selected_val_rmse,test_rmse
controlled_evolutionary_split1_s8,controlled_evolutionary,1,8,25,16,0,9,0,16,0.014656172245390743,0.01660331345658733
controlled_evolutionary_split1_s9,controlled_evolutionary,1,9,25,19,0,6,0,19,0.016425447061859805,0.018631342134711938
controlled_greedy_split1_s0,controlled_greedy,1,0,25,25,0,0,0,25,0.016794990705477766,0.01851169212082936
controlled_greedy_split1_s1,controlled_greedy,1,1,25,23,0,2,0,23,0.013376325139509508,0.014740326665929185
controlled_greedy_split1_s2,controlled_greedy,1,2,25,24,0,1,0,24,0.01575542581010345,0.016694249971320293
controlled_greedy_split1_s3,controlled_greedy,1,3,25,23,0,2,0,24,0.013178984565290984,0.014005384706137455
controlled_greedy_split1_s4,controlled_greedy,1,4,25,21,0,4,0,21,0.014130624653872255,0.01611000698537859
controlled_greedy_split1_s5,controlled_greedy,1,5,25,24,0,1,0,25,0.01624193376261684,0.017783760668275108
controlled_greedy_split1_s6,controlled_greedy,1,6,25,21,0,4,0,21,0.016222238863080697,0.01764335732718903
controlled_greedy_split1_s7,controlled_greedy,1,7,25,24,0,1,0,24,0.01488226185186658,0.016411129975131052
controlled_greedy_split1_s8,controlled_greedy,1,8,25,23,0,2,0,23,0.01398149002929362,0.01571140185820762
controlled_greedy_split1_s9,controlled_greedy,1,9,25,24,0,1,0,24,0.01677552562836861,0.017958654049989718
controlled_random_split2_s0,controlled_random,2,0,25,24,0,1,0,24,0.012215071556148387,0.014528455784034115
controlled_random_split2_s1,controlled_random,2,1,25,23,0,2,0,23,0.014611011199339047,0.016913498863894063
controlled_random_split2_s2,controlled_random,2,2,25,25,0,0,0,25,0.014590345836348209,0.01861124705638128
controlled_random_split2_s3,controlled_random,2,3,25,24,0,1,0,24,0.014858349495808193,0.0177832168030163
controlled_random_split2_s4,controlled_random,2,4,25,25,0,0,0,25,0.016764421327685585,0.019680065998025284
controlled_random_split2_s5,controlled_random,2,5,25,25,0,0,0,25,0.013273484589189482,0.01609896968262526
controlled_random_split2_s6,controlled_random,2,6,25,25,0,0,0,25,0.01326682682488065,0.015999532366853152
controlled_random_split2_s7,controlled_random,2,7,25,25,0,0,0,25,0.014277713890710557,0.01685621116464494
controlled_random_split2_s8,controlled_random,2,8,25,25,0,0,0,25,0.016368299136834977,0.01794397089381608
controlled_random_split2_s9,controlled_random,2,9,25,25,0,0,0,25,0.014496764216603982,0.016475660232794946
controlled_evolutionary_split2_s0,controlled_evolutionary,2,0,25,18,0,7,0,18,0.013525812667509842,0.018245148102376426
controlled_evolutionary_split2_s1,controlled_evolutionary,2,1,25,16,0,9,0,17,0.01481201284917694,0.01680311064656033
