split,arm,n,test_median,test_iqr,val_median
0,controlled_random,10,0.01821049050865887,0.0026412341886361858,0.016432825538572098
0,controlled_evolutionary,10,0.017562309679672688,0.002110718616422501,0.0154089082470446
0,controlled_greedy,10,0.017529067174966575,0.0009567758102998827,0.01498996979748754
1,controlled_random,10,0.017487019816669447,0.0015825788968718002,0.01545643507981392
1,controlled_evolutionary,10,0.016760168914043406,0.0014749786398575715,0.015117742297130216
1,controlled_greedy,10,0.016552689973225673,0.0019376066930032257,0.015318843830985016
2,controlled_random,10,0.0168848550142695,0.0017106400509484532,0.014543555026476095
2,controlled_evolutionary,10,0.017625218257329555,0.0015044334494357103,0.014772728814739839
2,controlled_greedy,10,0.01636371620463327,0.0027358272053544398,0.01322330315970815
