family,n_qubits,arm,seed,status,n_evaluated,selected_val_rmse,test_rmse,test_auroc,stop_reason,selected_gate_count,api_calls,proposals,duplicates,invalid
sin_freq,3,random,4,complete,8,0.3186144087433876,0.30549048175437227,,budget_exhausted,5,0,9,0,1
sin_freq,3,random,5,complete,8,0.2740214391913327,0.2994624447078579,,budget_exhausted,5,0,9,0,1
sin_freq,3,random,6,complete,8,0.2978982049418165,0.30237707931851177,,budget_exhausted,5,0,8,0,0
sin_freq,3,random,7,complete,8,0.18882190488652797,0.19599086725974565,,budget_exhausted,5,0,8,0,0
sin_freq,3,random,8,complete,8,0.28293346939252567,0.2910738249131889,,budget_exhausted,5,0,9,0,1
sin_freq,3,random,9,complete,8,0.1986097657250491,0.19776972657295241,,budget_exhausted,5,0,9,0,1
sin_freq,3,evolutionary,0,complete,8,0.30707868372992847,0.2952140443317967,,budget_exhausted,5,0,8,0,0
sin_freq,3,evolutionary,1,complete,8,0.21279134384160514,0.21594441728101468,,budget_exhausted,5,0,8,0,0
sin_freq,3,evolutionary,2,complete,8,0.2573898694434959,0.25088815509234835,,budget_exhausted,5,0,8,0,0
sin_freq,3,evolutionary,3,complete,8,0.23819549227438008,0.23120505722330945,,budget_exhausted,5,0,8,0,0
sin_freq,3,evolutionary,4,complete,8,0.3078711555281726,0.3130666490078391,,budget_exhausted,5,0,8,0,0
sin_freq,3,evolutionary,5,complete,8,0.2740214391913327,0.2994624447078579,,budget_exhausted,5,0,9,0,1
sin_freq,3,evolutionary,6,complete,8,0.29898095643457284,0.3044329192703398,,budget_exhausted,5,0,8,0,0
sin_freq,3,evolutionary,7,complete,8,0.18874379062141092,0.19581676719088442,,budget_exhausted,5,0,10,2,0
sin_freq,3,evolutionary,8,complete,8,0.29813368561069997,0.2970381203020834,,budget_exhausted,5,0,9,0,1
sin_freq,3,evolutionary,9,complete,8,0.1986097657250491,0.19776972657295241,,budget_exhausted,5,0,10,1,1
sin_freq,3,greedy,0,complete,8,0.3051171694064318,0.2952465659631295,,budget_exhausted,5,0,8,0,0
