task,n_qubits,arm_a,arm_b,hodges_lehmann_shift,cliffs_delta_paired,median_a,median_b
change_point,5,evolutionary_structure,greedy_growth,0.0001306402816835528,0.0,0.101343603623502,0.10118851414563607
change_point,5,evolutionary_structure,random_structure,6.424034594100514e-05,0.0,0.101343603623502,0.10158676814859928
change_point,5,evolutionary_structure,ref_realamp_d1,-0.17011401739691429,-1.0,0.101343603623502,0.26884774001295453
change_point,5,evolutionary_structure,ref_realamp_d2,-0.017797700907896417,-1.0,0.101343603623502,0.11929286054986973
change_point,5,evolutionary_structure,ref_strongent_d1,-0.050649378904008,-1.0,0.101343603623502,0.15224376550384025
change_point,5,evolutionary_structure,ref_strongent_d2,-0.0028748754919627334,-0.4,0.101343603623502,0.10380477645980613
change_point,5,greedy_growth,random_structure,0.00032531865381103114,0.2,0.10118851414563607,0.10158676814859928
change_point,5,greedy_growth,ref_realamp_d1,-0.17085118866271293,-1.0,0.10118851414563607,0.26884774001295453
change_point,5,greedy_growth,ref_realamp_d2,-0.01707406823324492,-0.8,0.10118851414563607,0.11929286054986973
change_point,5,greedy_growth,ref_strongent_d1,-0.05066025919787854,-1.0,0.10118851414563607,0.15224376550384025
change_point,5,greedy_growth,ref_strongent_d2,-0.0021014054558051165,-0.4,0.10118851414563607,0.10380477645980613
change_point,5,random_structure,ref_realamp_d1,-0.16877792037845532,-1.0,0.10158676814859928,0.26884774001295453
change_point,5,random_structure,ref_realamp_d2,-0.01739563746942041,-1.0,0.10158676814859928,0.11929286054986973
change_point,5,random_structure,ref_strongent_d1,-0.05059123136130983,-1.0,0.10158676814859928,0.15224376550384025
change_point,5,random_structure,ref_strongent_d2,-0.0025234998151336674,-0.6,0.10158676814859928,0.10380477645980613
change_point,5,ref_realamp_d1,ref_realamp_d2,0.1524246541353672,1.0,0.26884774001295453,0.11929286054986973
change_point,5,ref_realamp_d1,ref_strongent_d1,0.11708513349253302,1.0,0.26884774001295453,0.15224376550384025
change_point,5,ref_realamp_d1,ref_strongent_d2,0.1674993341423307,1.0,0.26884774001295453,0.10380477645980613
change_point,5,ref_realamp_d2,ref_strongent_d1,-0.03304546715584192,-1.0,0.11929286054986973,0.15224376550384025
change_point,5,ref_realamp_d2,ref_strongent_d2,0.014700793142128868,1.0,0.11929286054986973,0.10380477645980613
change_point,5,ref_strongent_d1,ref_strongent_d2,0.04825224991682322,1.0,0.15224376550384025,0.10380477645980613
gauss_peak,5,evolutionary_structure,greedy_growth,-0.0019482678699042112,-0.2,0.021733694433024926,0.02356138396310537
gauss_peak,5,evolutionary_structure,random_structure,0.0015607684659969222,0.6,0.021733694433024926,0.021378459309624846
gauss_peak,5,evolutionary_structure,ref_realamp_d1,-0.14184087486092817,-1.0,0.021733694433024926,0.1647192890459182
gauss_peak,5,evolutionary_structure,ref_realamp_d2,-0.05884335382764715,-1.0,0.021733694433024926,0.09349210766433805
gauss_peak,5,evolutionary_structure,ref_strongent_d1,-0.2019805424411932,-1.0,0.021733694433024926,0.22477531508380116
gauss_peak,5,evolutionary_structure,ref_strongent_d2,-0.010511661339853023,-0.6,0.021733694433024926,0.031573016846850474
gauss_peak,5,greedy_growth,random_structure,0.002328047780104054,0.6,0.02356138396310537,0.021378459309624846
gauss_peak,5,greedy_growth,ref_realamp_d1,-0.13989260699102396,-1.0,0.02356138396310537,0.1647192890459182
gauss_peak,5,greedy_growth,ref_realamp_d2,-0.0586963101883056,-1.0,0.02356138396310537,0.09349210766433805
gauss_peak,5,greedy_growth,ref_strongent_d1,-0.19870486039387553,-1.0,0.02356138396310537,0.22477531508380116
gauss_peak,5,greedy_growth,ref_strongent_d2,-0.006664490464473552,-0.4,0.02356138396310537,0.031573016846850474
gauss_peak,5,random_structure,ref_realamp_d1,-0.14378478217518528,-1.0,0.021378459309624846,0.1647192890459182
gauss_peak,5,random_structure,ref_realamp_d2,-0.07207006063099453,-1.0,0.021378459309624846,0.09349210766433805
gauss_peak,5,random_structure,ref_strongent_d1,-0.2033972249174763,-1.0,0.021378459309624846,0.22477531508380116
gauss_peak,5,random_structure,ref_strongent_d2,-0.015558937376083925,-1.0,0.021378459309624846,0.031573016846850474
gauss_peak,5,ref_realamp_d1,ref_realamp_d2,0.07049681562871767,1.0,0.1647192890459182,0.09349210766433805
gauss_peak,5,ref_realamp_d1,ref_strongent_d1,-0.0594022020572339,-1.0,0.1647192890459182,0.22477531508380116
gauss_peak,5,ref_realamp_d1,ref_strongent_d2,0.12824700157138608,1.0,0.1647192890459182,0.031573016846850474
gauss_peak,5,ref_realamp_d2,ref_strongent_d1,-0.13031665065255604,-1.0,0.09349210766433805,0.22477531508380116
gauss_peak,5,ref_realamp_d2,ref_strongent_d2,0.04975318183926279,1.0,0.09349210766433805,0.031573016846850474
gauss_peak,5,ref_strongent_d1,ref_strongent_d2,0.18705298999994563,1.0,0.22477531508380116,0.031573016846850474
peak_count,5,evolutionary_structure,greedy_growth,0.008612632751464844,0.4,0.732426643371582,0.7385978698730469
peak_count,5,evolutionary_structure,random_structure,-0.006403923034667969,-0.2,0.732426643371582,0.7479081153869629
peak_count,5,evolutionary_structure,ref_realamp_d1,0.1329331398010254,1.0,0.732426643371582,0.6016674041748047
peak_count,5,evolutionary_structure,ref_realamp_d2,0.07818889617919922,1.0,0.732426643371582,0.6684575080871582
peak_count,5,evolutionary_structure,ref_strongent_d1,0.12955474853515625,1.0,0.732426643371582,0.6174449920654297
peak_count,5,evolutionary_structure,ref_strongent_d2,0.003871917724609375,0.4,0.732426643371582,0.7292628288269043
peak_count,5,greedy_growth,random_structure,-0.010881423950195312,0.0,0.7385978698730469,0.7479081153869629
peak_count,5,greedy_growth,ref_realamp_d1,0.12763023376464844,0.8,0.7385978698730469,0.6016674041748047
peak_count,5,greedy_growth,ref_realamp_d2,0.08215618133544922,0.8,0.7385978698730469,0.6684575080871582
peak_count,5,greedy_growth,ref_strongent_d1,0.12660789489746094,1.0,0.7385978698730469,0.6174449920654297
peak_count,5,greedy_growth,ref_strongent_d2,0.0034914016723632812,0.0,0.7385978698730469,0.7292628288269043
peak_count,5,random_structure,ref_realamp_d1,0.14012622833251953,1.0,0.7479081153869629,0.6016674041748047
peak_count,5,random_structure,ref_realamp_d2,0.08702564239501953,1.0,0.7479081153869629,0.6684575080871582
peak_count,5,random_structure,ref_strongent_d1,0.14245986938476562,1.0,0.7479081153869629,0.6174449920654297
peak_count,5,random_structure,ref_strongent_d2,0.009562492370605469,0.4,0.7479081153869629,0.7292628288269043
peak_count,5,ref_realamp_d1,ref_realamp_d2,-0.051601409912109375,-0.6,0.6016674041748047,0.6684575080871582
peak_count,5,ref_realamp_d1,ref_strongent_d1,-0.0098419189453125,0.0,0.6016674041748047,0.6174449920654297
peak_count,5,ref_realamp_d1,ref_strongent_d2,-0.13321828842163086,-1.0,0.6016674041748047,0.7292628288269043
peak_count,5,ref_realamp_d2,ref_strongent_d1,0.05333900451660156,0.6,0.6684575080871582,0.6174449920654297
peak_count,5,ref_realamp_d2,ref_strongent_d2,-0.07415390014648438,-1.0,0.6684575080871582,0.7292628288269043
peak_count,5,ref_strongent_d1,ref_strongent_d2,-0.1298990249633789,-1.0,0.6174449920654297,0.7292628288269043
sin_freq,5,evolutionary_structure,greedy_growth,-0.0166064287252376,-0.2,0.08191700031975799,0.11727973233884184
sin_freq,5,evolutionary_structure,random_structure,0.00644632302312283,0.0,0.08191700031975799,0.0770600561529933
sin_freq,5,evolutionary_structure,ref_realamp_d1,-0.20152083131830023,-1.0,0.08191700031975799,0.2908754234747494
sin_freq,5,evolutionary_structure,ref_realamp_d2,-0.1991410316314002,-1.0,0.08191700031975799,0.2856406438072855
sin_freq,5,evolutionary_structure,ref_strongent_d1,-0.14931114893267894,-0.8,0.08191700031975799,0.23681944475634298
sin_freq,5,evolutionary_structure,ref_strongent_d2,-0.09128808086179793,-0.8,0.08191700031975799,0.1800587133004458
sin_freq,5,greedy_growth,random_structure,0.033903721488788,0.2,0.11727973233884184,0.0770600561529933
sin_freq,5,greedy_growth,ref_realamp_d1,-0.168223501657864,-1.0,0.11727973233884184,0.2908754234747494
sin_freq,5,greedy_growth,ref_realamp_d2,-0.1647041009627024,-0.8,0.11727973233884184,0.2856406438072855
sin_freq,5,greedy_growth,ref_strongent_d1,-0.113646748945344,-0.8,0.11727973233884184,0.23681944475634298
sin_freq,5,greedy_growth,ref_strongent_d2,-0.053609484347950494,-0.6,0.11727973233884184,0.1800587133004458
