seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Random,R1,1,explore,False,,,,0.5346497756490278,0.4653502243509721
0,Random,R2,2,explore,False,,,,0.1157258760968623,0.8842741239031376
0,Random,R3,3,explore,False,,,,0.166148679097041,0.833851320902959
0,Random,R4,4,explore,False,,,,0.3436956139052705,0.6563043860947295
0,Random,R5,5,explore,False,,,,0.3731997316655214,0.6268002683344785
0,Random,R6,6,explore,False,,,,0.504739575249094,0.495260424750906
0,Random,R7,7,explore,False,,,,0.0179619582150029,0.9820380417849972
0,Random,R8,8,explore,False,,,,0.5086732132664449,0.4913267867335552
0,Greedy,G1_warm,1,explore,False,,,,0.116433437894115,0.8835665621058849
0,Greedy,G2_warm,2,explore,False,,,,0.5182511913863037,0.4817488086136962
0,Greedy,G3_warm,3,explore,False,,,,0.1348412319593229,0.865158768040677
0,Greedy,G4_warm,4,explore,False,,,,0.1843776519664892,0.8156223480335107
0,Greedy,G5_rej,5,refine,False,,0.0625,,0.1598983122530463,0.8401016877469537
0,Greedy,G6_rej,6,refine,False,,0.125,,0.1181471646402819,0.881852835359718
0,Greedy,G7_acc,7,refine,False,,0.125,,0.1144892667834817,0.8855107332165183
0,Greedy,G8_rej,8,refine,False,,0.0625,,0.3480591455434629,0.651940854456537
0,LLM-Open,nn-real-push,1,explore,False,,,,0.1053548628625961,0.8946451371374039
0,LLM-Open,left-to-right,2,explore,False,,,,0.0880679688231875,0.9119320311768124
0,LLM-Open,right-to-left,3,explore,False,,,,0.066684327862713,0.933315672137287
0,LLM-Open,center-out,4,explore,False,,,,0.1590906257031172,0.8409093742968827
0,LLM-Open,latent-collector,5,explore,False,,,,0.038442498246399,0.961557501753601
0,LLM-Open,alternating-chain,6,explore,False,,,,0.0768298561744811,0.9231701438255188
0,LLM-Open,mirror-real,7,explore,False,,,,0.1149484681909012,0.8850515318090988
0,LLM-Open,nn-chain-real,8,explore,False,,,,0.022465467379687,0.977534532620313
1,Random,R1,1,explore,False,,,,0.1579317444614304,0.8420682555385696
1,Random,R2,2,explore,False,,,,0.0870454455839754,0.9129545544160246
1,Random,R3,3,explore,False,,,,0.102946022425014,0.897053977574986
1,Random,R4,4,explore,False,,,,0.1700862789992426,0.8299137210007573
1,Random,R5,5,explore,False,,,,0.5309826198196133,0.4690173801803867
1,Random,R6,6,explore,False,,,,0.522169509199127,0.477830490800873
1,Random,R7,7,explore,False,,,,0.373834391345925,0.626165608654075
1,Random,R8,8,explore,False,,,,0.5164757132957263,0.4835242867042737
1,Greedy,G1_warm,1,explore,False,,,,0.0887335021220711,0.9112664978779288
1,Greedy,G2_warm,2,explore,False,,,,0.1450899232435828,0.8549100767564172
1,Greedy,G3_warm,3,explore,False,,,,0.155415381711928,0.844584618288072
1,Greedy,G4_warm,4,explore,False,,,,0.3583542983413229,0.6416457016586771
1,Greedy,G5_rej,5,refine,False,,0.0625,,0.147974421056532,0.852025578943468
1,Greedy,G6_rej,6,refine,False,,0.125,,0.0890118803560872,0.9109881196439128
1,Greedy,G7_rej,7,refine,False,,0.0625,,0.1113983377781998,0.8886016622218001
1,Greedy,G8_rej,8,refine,False,,0.125,,0.1494123201423033,0.8505876798576967
1,LLM-Open,nn-real-push,1,explore,False,,,,0.1148945172076336,0.8851054827923663
1,LLM-Open,left-to-right,2,explore,False,,,,0.0888703315643056,0.9111296684356944
1,LLM-Open,right-to-left,3,explore,False,,,,0.0875036320562344,0.9124963679437657
1,LLM-Open,center-out,4,explore,False,,,,0.15243264244597,0.84756735755403
1,LLM-Open,latent-collector,5,explore,False,,,,0.0683238389639845,0.9316761610360156
1,LLM-Open,alternating-chain,6,explore,False,,,,0.096039391230823,0.9039606087691768
1,LLM-Open,mirror-real,7,explore,False,,,,0.1213124684243275,0.8786875315756725
1,LLM-Open,nn-chain-real,8,explore,False,,,,0.0398438178239737,0.9601561821760264
2,Random,R1,1,explore,False,,,,0.1052861738034307,0.8947138261965693
2,Random,R2,2,explore,False,,,,0.5167924235562846,0.4832075764437154
2,Random,R3,3,explore,False,,,,0.4771542382144397,0.5228457617855603
2,Random,R4,4,explore,False,,,,0.3199888047731632,0.6800111952268367
2,Random,R5,5,explore,False,,,,0.548008426286344,0.4519915737136559
2,Random,R6,6,explore,False,,,,0.3598042566794136,0.6401957433205864
2,Random,R7,7,explore,False,,,,0.3199348068633428,0.6800651931366571
2,Random,R8,8,explore,False,,,,0.2611787400239972,0.7388212599760028
2,Greedy,G1_warm,1,explore,False,,,,0.2627463678360572,0.7372536321639428
2,Greedy,G2_warm,2,explore,False,,,,0.3724670313789434,0.6275329686210566
2,Greedy,G3_warm,3,explore,False,,,,0.2611046360358516,0.7388953639641483
2,Greedy,G4_warm,4,explore,False,,,,0.2440824245274077,0.7559175754725923
2,Greedy,G5_acc,5,refine,False,,0.0625,,0.2106654083847261,0.7893345916152739
2,Greedy,G6_rej,6,refine,False,,0.0625,,0.2108452228116227,0.7891547771883772
2,Greedy,G7_acc,7,refine,False,,0.0625,,0.167436172146551,0.832563827853449
2,Greedy,G8_rej,8,refine,False,,0.0625,,0.2194307114719377,0.7805692885280623
2,LLM-Open,nn-real-push,1,explore,False,,,,0.1950228854902351,0.8049771145097648
2,LLM-Open,left-to-right,2,explore,False,,,,0.1509520498324909,0.8490479501675091
2,LLM-Open,right-to-left,3,explore,False,,,,0.1266149576363581,0.8733850423636419
2,LLM-Open,center-out,4,explore,False,,,,0.2613863702012861,0.7386136297987139
