pair,block,seed,entangled_logloss,product_logloss,depth_diff,param_count_preserved,diff_product_minus_entangled
10,2,1,0.745190659781808,0.7278852203452777,3,True,-0.01730543943653029
11,2,0,0.7273999018470981,0.7136890650140352,3,True,-0.013710836833062956
11,2,1,0.7283971105212249,0.7107304174225457,3,True,-0.017666693098679187
12,2,0,0.7460262747190142,0.7306582490489303,3,True,-0.015368025670083885
12,2,1,0.7223122841559452,0.729529424109762,3,True,0.007217139953816787
13,2,0,0.7326282483291582,0.7199521013314009,3,True,-0.01267614699775732
13,2,1,0.7484395167633688,0.7258150309034136,3,True,-0.022624485859955246
14,2,0,0.7406133272564107,0.7080716529678568,6,True,-0.03254167428855392
14,2,1,0.7516221286716188,0.7371388909759565,6,True,-0.014483237695662288
15,2,0,0.7170883168128936,0.7170883168128938,9,True,1.1102230246251565e-16
15,2,1,0.7140115781212316,0.7140115781212316,9,True,0.0
16,2,0,0.734601027212083,0.734601027212083,3,True,0.0
16,2,1,0.7440101162526241,0.7440101162526244,3,True,2.220446049250313e-16
17,2,0,0.7383238721041152,0.7383238721041152,3,True,0.0
17,2,1,0.7074569825452927,0.7074569825452927,3,True,0.0
18,2,0,0.7331027202627736,0.7230175683229121,3,True,-0.01008515193986148
18,2,1,0.7420931144259253,0.7275152526133141,3,True,-0.014577861812611226
19,2,0,0.7227222835029581,0.7079907715058991,3,True,-0.014731511997059021
19,2,1,0.7348066397109908,0.7256339846402684,3,True,-0.009172655070722402
0,3,0,0.7247513504027806,0.7397767563113625,3,True,0.015025405908581924
0,3,1,0.7478253634280085,0.7338675072896185,3,True,-0.013957856138390068
1,3,0,0.7791032331754127,0.7418052634757479,6,True,-0.03729796969966481
1,3,1,0.7403365442942094,0.7479859651781176,6,True,0.007649420883908187
2,3,0,0.7578526105568725,0.7408829440145825,3,True,-0.01696966654228993
2,3,1,0.7447412143919442,0.7123559678302193,3,True,-0.03238524656172492
3,3,0,0.7231326049911668,0.7231326049911668,6,True,0.0
3,3,1,0.7083682480966002,0.7083682480966002,6,True,0.0
4,3,0,0.7492818489902006,0.7366420014194355,3,True,-0.012639847570765084
4,3,1,0.7628955637078464,0.7307481994844522,3,True,-0.03214736422339415
5,3,0,0.7359055547949114,0.7289621278384776,3,True,-0.006943426956433796
5,3,1,0.7265410237371941,0.7261083005943565,3,True,-0.00043272314283759883
