architecture_hash,n_qubits,quantum_parameter_count,expressibility_kl,entanglement_capability_mean,entanglement_capability_median,entanglement_capability_std,entanglement_capability_min,entanglement_capability_max,diagnostic_seed,diagnostic_state_samples,diagnostic_fidelity_pairs
eb425c31659e51a005650295c366c6c51e27e4dfe0db6d5a76a739dde4f0c4ea,3,4,5.170566860174961,0.35023390684800626,0.35176329010901464,0.2379374932229718,3.373680652174471e-06,0.6666656536275175,2532877649,200,2000
e6366a810f89625c44b1aff40f21f2049f00263e7e10a7dde458ee69ca1c6271,3,1,27.631021115927403,0.0,0.0,0.0,0.0,0.0,4259341309,200,2000
9242850370d23cbd88389b2b3c89825c9baa96e9681a705e6ade12cd29195675,3,1,27.631021115927403,0.0,0.0,0.0,0.0,0.0,2095703368,200,2000
1c21831c936d36e5b4e551daa8ec04c20ceb1eac549e537e884872d2b1fc8d04,3,3,27.631021115927403,8.881784197001252e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,8.881784197001252e-16,3483495603,200,2000
6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,3,4,1.5171909997969413,0.3391603922265237,0.34460892587243297,0.2349993253078471,0.0003771429969414708,0.6666648580199654,647805639,200,2000
68e29b0bf1a6dc84f399dc278b5833814e76a8b814e8d34271f50ef5557f217e,3,4,1.5964935433143714,0.35078089321903005,0.3829610343394556,0.23946507687067445,1.4764540363865208e-05,0.6666646224819914,603066235,200,2000
8d801d6c34db96c075d47f36181e9f7ce9e0a9f3e97686050c160409a38668cd,3,2,7.643180842067788,0.3051754476682165,0.2965140287052288,0.22506327196507794,2.9644892893809782e-06,0.6646458272632121,3976191932,200,2000
080e6db9f49c1af7e7e6dce41323801ff4528cb864d103e2a444f9f6d520ed75,3,4,1.420784129456991,0.3779718698803046,0.3912316132813807,0.23343404331860645,7.326854315437004e-05,0.6666666403851558,950327634,200,2000
aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,3,4,1.4195476241492495,0.37032687012948295,0.4068068304361886,0.24306736442648189,0.00031166528388326675,0.6666314005444196,4191042437,200,2000
39d5d3a30bb400545fad6bf2e33ed291782c528ecd1e995812a8b38590440907,3,3,27.631021115927403,0.0,0.0,0.0,0.0,0.0,3440863421,200,2000
96c2fec72312577c4d768e16bd80b75e7fd24c688ba49d1fab0413a396874c6f,3,3,27.631021115927403,8.881784197001252e-16,8.881784197001252e-16,0.0,8.881784197001252e-16,8.881784197001252e-16,1839285061,200,2000
efd07903b5633911cb35ed5e7a92d465dc654016f5770f44d60df96f3b728b48,3,1,27.631021115927183,1.0103029524088925e-16,0.0,3.026635756473276e-16,-8.881784197001252e-16,6.661338147750939e-16,3848263596,200,2000
1cb001f5f9ca32749890d48e953a3bc0183fc3c09aff76af42b910d4a3812eb6,3,4,5.472472498293615,6.94999613415348e-16,6.661338147750939e-16,3.710936029471547e-16,0.0,1.7763568394002505e-15,2324484933,200,2000
