task,n_qubits,arm,unique_evaluations,median_best_val,q25,q75
sin_freq,5,evolutionary_structure,1,0.28267099110100413,0.2688923451009604,0.2858325395141028
sin_freq,5,evolutionary_structure,2,0.23281536507598663,0.19093648082806428,0.26957855120364727
sin_freq,5,evolutionary_structure,3,0.19386635628390508,0.1490073631232478,0.249336528557699
sin_freq,5,evolutionary_structure,4,0.19386635628390508,0.1490073631232478,0.2350973592735907
sin_freq,5,evolutionary_structure,5,0.19386635628390508,0.1490073631232478,0.2350973592735907
sin_freq,5,evolutionary_structure,6,0.19386635628390508,0.1490073631232478,0.2350317754204636
sin_freq,5,evolutionary_structure,7,0.19386635628390508,0.14531816111012089,0.2350317754204636
sin_freq,5,evolutionary_structure,8,0.18671289973386124,0.11236623916764482,0.2350317754204636
sin_freq,5,evolutionary_structure,9,0.17192651120421365,0.11236623916764482,0.2246091056082822
sin_freq,5,evolutionary_structure,10,0.16420964238827768,0.11236623916764482,0.1905427420237791
sin_freq,5,evolutionary_structure,11,0.16420964238827768,0.11236623916764482,0.1905427420237791
sin_freq,5,evolutionary_structure,12,0.1470618026815232,0.08579553941448212,0.18965615148981804
sin_freq,5,evolutionary_structure,13,0.13663203868970994,0.08491846448720677,0.18965615148981804
sin_freq,5,evolutionary_structure,14,0.13663203868970994,0.08491846448720677,0.18965615148981804
sin_freq,5,evolutionary_structure,15,0.13454489232894462,0.08491846448720677,0.18668430761581112
sin_freq,5,evolutionary_structure,16,0.10811251149766557,0.08009262295617207,0.1621006380055225
sin_freq,5,evolutionary_structure,17,0.09846082843559617,0.07389529299106785,0.15006339955602924
sin_freq,5,evolutionary_structure,18,0.08888211201664825,0.07389529299106785,0.11803340967958104
sin_freq,5,evolutionary_structure,19,0.08514807645324692,0.07389529299106785,0.11324405147010706
sin_freq,5,evolutionary_structure,20,0.08514807645324692,0.06507186186282068,0.11324405147010706
sin_freq,5,evolutionary_structure,21,0.08514807645324692,0.06507186186282068,0.11324405147010706
sin_freq,5,evolutionary_structure,22,0.08514807645324692,0.06507186186282068,0.1078148819614808
sin_freq,5,evolutionary_structure,23,0.07878465458371142,0.06507186186282068,0.1078148819614808
sin_freq,5,evolutionary_structure,24,0.07878465458371142,0.06507186186282068,0.1078148819614808
sin_freq,5,greedy_growth,1,0.2891596353959225,0.28506373445221544,0.2913559177622536
sin_freq,5,greedy_growth,2,0.28693504960244287,0.28166217618952527,0.29007193155676414
sin_freq,5,greedy_growth,3,0.2847908265318383,0.2812086554535139,0.2892857954447886
sin_freq,5,greedy_growth,4,0.2847908265318383,0.2811275613629787,0.2892857954447886
sin_freq,5,greedy_growth,5,0.2847908265318383,0.27988224998300576,0.2892079774044067
sin_freq,5,greedy_growth,6,0.2823805923879349,0.2769259761650373,0.28748191420895397
sin_freq,5,greedy_growth,7,0.28214908023978436,0.2769259761650373,0.2873620896826046
sin_freq,5,greedy_growth,8,0.28012664322172787,0.2677863801954248,0.28402999900262255
sin_freq,5,greedy_growth,9,0.27782993635811937,0.2609154793377326,0.28291590551009055
sin_freq,5,greedy_growth,10,0.2701363015704752,0.2439398707837967,0.28291590551009055
sin_freq,5,greedy_growth,11,0.2607999820236544,0.24228936027787112,0.28291590551009055
