task,n_qubits,arm,n_replicates,median,iqr,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
change_point,5,evolutionary_structure,10,0.101343603623502,0.0023691829426076283,0.10196952346598234,0.0026762429747834485,0.10005747434709997,0.10325033644281023
change_point,5,greedy_growth,10,0.10118851414563607,0.004644247773717011,0.10598663889154232,0.012694814720648675,0.09931754913601691,0.10809229129555277
change_point,5,random_structure,10,0.10158676814859928,0.0027136349081416378,0.10259489797863977,0.0036883256183176767,0.10061109757519274,0.10382173920215103
change_point,5,ref_realamp_d1,10,0.26884774001295453,0.05202985551642525,0.2862350685058609,0.03333034538640922,0.2641253461147995,0.3325307045402416
change_point,5,ref_realamp_d2,10,0.11929286054986973,0.0033402072965965507,0.11942120603179478,0.003314721970019866,0.11692521951432806,0.12092233560900209
change_point,5,ref_strongent_d1,10,0.15224376550384025,0.0044708612824490845,0.15261224291629846,0.0029072014613180856,0.1506810863912707,0.15590238685235705
change_point,5,ref_strongent_d2,10,0.10380477645980613,0.003218904484998897,0.10453743793506043,0.0030401361607750505,0.1022244263721992,0.10631069226424071
gauss_peak,5,evolutionary_structure,10,0.021733694433024926,0.0069557930163432515,0.02671792522604522,0.011014622654321293,0.020856995268200056,0.029899674459770535
gauss_peak,5,greedy_growth,10,0.02356138396310537,0.0082930652000002,0.030052868719590998,0.015179301130740041,0.02161751927938744,0.0329972520492889
gauss_peak,5,random_structure,10,0.021378459309624846,0.0013501730397086388,0.021288414611546937,0.0010325416011528418,0.020424118004473534,0.022090478671864974
gauss_peak,5,ref_realamp_d1,10,0.1647192890459182,0.00205239680246469,0.16498503037802836,0.002032789821703668,0.16396183243789517,0.1666082403404201
gauss_peak,5,ref_realamp_d2,10,0.09349210766433805,0.004446299677460366,0.08657957238050525,0.019774079146835703,0.07139166980476995,0.09849322575654448
gauss_peak,5,ref_strongent_d1,10,0.22477531508380116,0.0013534271172078172,0.22435893924272737,0.0016672652788899149,0.22334173771458354,0.225501509046809
gauss_peak,5,ref_strongent_d2,10,0.031573016846850474,0.02496316643380475,0.03624837751234968,0.014052797554594446,0.02351720145055801,0.050999154436476166
peak_count,5,evolutionary_structure,10,0.732426643371582,0.06654024124145508,0.7384307861328125,0.04744055533511959,0.7003450393676758,0.7794055938720703
peak_count,5,greedy_growth,10,0.7385978698730469,0.042330026626586914,0.7291604995727539,0.049521777472855605,0.712151050567627,0.7605142593383789
peak_count,5,random_structure,10,0.7479081153869629,0.056357622146606445,0.7469361305236817,0.03237188534314072,0.7131004333496094,0.7803564071655273
peak_count,5,ref_realamp_d1,10,0.6016674041748047,0.05683302879333496,0.6041275978088378,0.03460277036843479,0.5731968879699707,0.6339988708496094
peak_count,5,ref_realamp_d2,10,0.6684575080871582,0.026549339294433594,0.6450248718261719,0.05484782887795291,0.6304430961608887,0.6750102043151855
peak_count,5,ref_strongent_d1,10,0.6174449920654297,0.04013323783874512,0.6115384101867676,0.027906758594013637,0.5848751068115234,0.6304507255554199
peak_count,5,ref_strongent_d2,10,0.7292628288269043,0.03905606269836426,0.735860538482666,0.027899181584940688,0.7149901390075684,0.7578792572021484
sin_freq,5,evolutionary_structure,10,0.08191700031975799,0.0459720891434235,0.10445256741440594,0.06113144435031929,0.06092421993717923,0.13980269486118468
sin_freq,5,greedy_growth,10,0.11727973233884184,0.08535869248342724,0.13143176401960688,0.07118427561910988,0.06860686733755278,0.17270971571277938
sin_freq,5,random_structure,10,0.0770600561529933,0.04739124123833746,0.09815535377515064,0.04819221269772349,0.06544849820158526,0.1222446665128797
sin_freq,5,ref_realamp_d1,10,0.2908754234747494,0.004019678130502802,0.2905731444755256,0.002930980437115053,0.28782197953361416,0.2930001566904466
sin_freq,5,ref_realamp_d2,10,0.2856406438072855,0.004574083744904922,0.2866730195426277,0.0030571999829513154,0.28427640887238326,0.2898707797737472
sin_freq,5,ref_strongent_d1,10,0.23681944475634298,0.00281499459045223,0.2367950019806951,0.0019860779787397318,0.2352468743603893,0.23859744798694837
sin_freq,5,ref_strongent_d2,10,0.1800587133004458,0.008634889255091815,0.1791260841110824,0.007198054644574144,0.17401192298511448,0.18433547284262938
