method,candidates_used,best_so_far_test_fid
Greedy,1,0.6671629205093769
Greedy,2,0.6751293319247059
Greedy,3,0.7077515075010937
Greedy,4,0.7303470582125677
Greedy,5,0.7359970439014126
Greedy,6,0.7362725005607813
Greedy,7,0.7363252973744249
Greedy,8,0.7666677469372379
LLM-Closed,1,0.8935315101065048
LLM-Closed,2,0.9461231854948333
LLM-Closed,3,0.9513206749602765
LLM-Closed,4,0.9511916972781888
LLM-Closed,5,0.952793194712592
LLM-Closed,6,0.9552791730114496
LLM-Closed,7,0.955288181223856
LLM-Closed,8,0.955288181223856
LLM-Open,1,0.9032992803785093
LLM-Open,2,0.9032992803785093
LLM-Open,3,0.9652992574832701
LLM-Open,4,0.9652992574832701
LLM-Open,5,0.9652992574832701
LLM-Open,6,0.9652992574832701
LLM-Open,7,0.9652992574832701
LLM-Open,8,0.9652992574832701
Random,1,0.6747222737294085
Random,2,0.7330929441775513
Random,3,0.7988595876235639
Random,4,0.8251007475740199
Random,5,0.8308118103485093
Random,6,0.8375373636789142
Random,7,0.8606216871621614
Random,8,0.8721347510337799
