seed,method,candidate,order,fallback,invalid_errors,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G3_acc,3,False,,0.28857370386860026,0.31234940495151997,0.31648214019680854,0.7114262961313997,0.68765059504848,0.6835178598031915
0,LLM-Closed,boundary_entangle_inner_echo,6,False,,0.01715157002420975,0.01372193451917847,0.02064100406377678,0.9828484299757902,0.9862780654808215,0.9793589959362232
0,LLM-Open,center-squeeze,3,False,,0.026000557465673202,0.020674860885251944,0.029877227622112867,0.9739994425343268,0.9793251391147481,0.9701227723778871
0,Random,R8,8,False,,0.22862494244857157,0.16550670664926892,0.19565826716106083,0.7713750575514284,0.8344932933507311,0.8043417328389392
1,Greedy,G5_acc,5,False,,0.13612479014474854,0.11726484971194873,0.13290511473383226,0.8638752098552515,0.8827351502880513,0.8670948852661677
1,LLM-Closed,nn_real_sweep,1,False,,0.029799614036502664,0.03657876880912736,0.02995593634111171,0.9702003859634973,0.9634212311908726,0.9700440636588883
1,LLM-Open,center-squeeze,3,False,,0.029325517694445802,0.03712516443941849,0.029611664392638515,0.9706744823055542,0.9628748355605815,0.9703883356073615
1,Random,R7,7,False,,0.13389011563527475,0.11427514561296537,0.130748398192715,0.8661098843647252,0.8857248543870346,0.869251601807285
2,Greedy,G7_acc,7,False,,0.3702558112039307,0.4013533885935512,0.3857191355848797,0.6297441887960693,0.5986466114064488,0.6142808644151203
2,LLM-Closed,boundary_to_bulk_real_ladder,7,False,,0.020242337688337164,0.04209300458108156,0.030094410833067742,0.9797576623116628,0.9579069954189184,0.9699055891669323
2,LLM-Open,center-squeeze,3,False,,0.0271182293408061,0.057152279866105826,0.03984182820500337,0.9728817706591939,0.9428477201338942,0.9601581717949966
2,Random,R7,7,False,,0.06397449248114495,0.10161655483598553,0.07847399966900093,0.936025507518855,0.8983834451640145,0.9215260003309991
3,Greedy,G8_acc,8,False,,0.10333982645625284,0.16106477454905865,0.12802137599376717,0.8966601735437472,0.8389352254509413,0.8719786240062328
3,LLM-Closed,mirror-real-bonded-trash,2,False,,0.06683103574413274,0.1224982144974801,0.09076243997158506,0.9331689642558673,0.8775017855025199,0.9092375600284149
3,LLM-Open,center-squeeze,3,False,,0.027822972568174564,0.05170866711119215,0.03925432609695667,0.9721770274318254,0.9482913328888078,0.9607456739030433
3,Random,R4,4,False,,0.15843991863905538,0.2302842371235473,0.18695312586322244,0.8415600813609446,0.7697157628764527,0.8130468741367776
4,Greedy,G4_acc,4,False,,0.19942830666649758,0.18114810935717207,0.20227245946643468,0.8005716933335024,0.8188518906428279,0.7977275405335653
4,LLM-Closed,edge_center_real_bonded,3,False,,0.04412215234126515,0.05200765191975287,0.05632696980183094,0.9558778476587348,0.9479923480802471,0.9436730301981691
4,LLM-Open,center-squeeze,3,False,,0.029759957536118375,0.03486822934004252,0.036093480892898544,0.9702400424638816,0.9651317706599575,0.9639065191071015
4,Random,R1,1,False,,0.080492601307387,0.0889613898463244,0.09129345498761754,0.919507398692613,0.9110386101536756,0.9087065450123825
5,Greedy,G6_acc,6,False,,0.19903679207210856,0.18342939201210096,0.16257036491862542,0.8009632079278914,0.816570607987899,0.8374296350813746
