structural_hash,encoding_type,n_qubits,encoding_inputs,n_measurements,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds,train_seed
39d826a64d6e,angle,4,4,4,12,24,8,88,12,5,105,0.030152942367682477,0.9943,1848792067
3b5295f798ae,angle,4,4,4,12,27,7,88,12,5,105,0.021988269671347885,0.9797,3909663775
3b7c3105dcd1,angle,4,4,4,4,16,0,88,12,5,105,0.033453981054015806,0.7905,1427930121
3bdb74a459a0,angle,4,4,4,7,19,3,88,12,5,105,0.022200509285669984,0.7495,3701521008
3c440e336342,angle,4,4,4,7,19,3,88,12,5,105,0.02147747686433947,0.8194,497983120
3dad662f670d,angle,4,4,4,7,19,3,88,12,5,105,0.01547622322047631,0.8446,3223795903
410b9b2c6a6e,angle,4,4,4,13,26,10,88,12,5,105,0.02317846345779079,1.2652,300039635
411b66ee16e9,angle,4,4,4,9,24,4,88,12,5,105,0.03375682447603837,1.0074,522443561
41af7cfb0346,angle,4,4,4,8,20,4,88,12,5,105,0.04187457314241949,1.1476,197352394
41d7711f8da8,angle,4,4,4,16,25,17,88,12,5,105,0.016339629769331565,1.2262,1750633736
424f11391ed6,angle,4,4,4,7,19,3,88,12,5,105,0.024426263914619738,0.7708,165597311
42a89b455fa3,angle,4,4,4,7,19,3,88,12,5,105,0.030195597224177126,0.8548,2785855772
43e4afecd68d,angle,4,4,4,12,26,10,88,12,5,105,0.04689134433021224,0.9113,1248335029
442526d3391a,angle,4,4,4,13,26,10,88,12,5,105,0.023035495786392367,0.9845,2293760019
451bb587000b,angle,4,4,4,10,23,7,88,12,5,105,0.017904892786260437,0.9454,2700290116
4949e7289a07,angle,4,4,4,16,23,15,88,12,5,105,0.03104853339917336,1.0767,1712475104
4a34c636d295,angle,4,4,4,14,26,10,88,12,5,105,0.02244722873419244,1.1473,1950053001
4a81dc62cff5,angle,4,4,4,10,19,7,88,12,5,105,0.022401261478490433,0.8461,1822641372
4a9be18231a1,angle,4,4,4,13,26,10,88,12,5,105,0.018395969762397955,0.9386,1768517320
4b0a53601342,angle,4,4,4,10,19,7,88,12,5,105,0.02579397406109408,0.848,2987727385
4b4672d8aa22,angle,4,4,4,7,19,3,88,12,5,105,0.017554465186755765,0.7882,3828281993
4b8bfdff4376,angle,4,4,4,13,26,10,88,12,5,105,0.02803807475919968,0.9574,1104955214
4da117fd5f9e,angle,4,4,4,9,24,4,88,12,5,105,0.030735613181508276,0.9126,672041633
4dd29eee6719,angle,4,4,4,11,25,9,88,12,5,105,0.0196631424654195,0.9355,1549939359
4e7e4f9b6524,angle,4,4,4,8,20,4,88,12,5,105,0.04222674539360835,0.8062,3017704238
505e705e80b3,angle,4,4,4,10,16,8,88,12,5,105,0.03438726764133543,0.9649,2361680657
508166635cb9,angle,4,4,4,14,25,13,88,12,5,105,0.028909342868545587,1.1162,2339043629
52143ae4ac4b,angle,4,4,4,7,16,4,88,12,5,105,0.01635937811709455,0.8232,2923948493
529b780b1f70,angle,4,4,4,15,26,14,88,12,5,105,0.01656770551651605,1.0342,2244124773
529f94be7b94,angle,4,4,4,13,22,10,88,12,5,105,0.013984771369478465,1.0438,1260310566
5434f6036ce1,angle,4,4,4,8,20,4,88,12,5,105,0.032525440703490234,0.7717,1436757257
544dc771adae,angle,4,4,4,14,23,11,88,12,5,105,0.033114951361580484,0.9385,3185351503
558352b085e0,angle,4,4,4,14,27,11,88,12,5,105,0.018730331168081867,0.9967,142163627
567e3db8447d,angle,4,4,4,15,27,11,88,12,5,105,0.03314220151998704,1.223,1333966646
56a1a41cbf30,angle,4,4,4,9,24,4,88,12,5,105,0.016822039759798776,0.8905,190743925
56a1a41cbf30,angle,4,4,4,9,24,4,88,12,5,105,0.032088177463549986,1.0137,1561533756
56f8e24bd4c1,angle,4,4,4,8,23,3,88,12,5,105,0.025982238076104266,0.9702,2953971547
57042f8c2ffb,angle,4,4,4,12,27,7,88,12,5,105,0.021213279360988182,0.9548,89984805
57bc4117e700,angle,4,4,4,9,27,3,88,12,5,105,0.029109721106217266,0.9929,3276125781
581655648b3f,angle,4,4,4,14,23,11,88,12,5,105,0.021122728813833827,0.9261,1818072000
586f94ba5274,angle,4,4,4,15,27,11,88,12,5,105,0.0299081619809274,1.0224,3248936983
58ef1e13cf1b,angle,4,4,4,14,27,11,88,12,5,105,0.021449598510927464,0.9982,3762700121
5a30ba13e6e1,angle,4,4,4,18,25,17,88,12,5,105,0.024144598418536528,1.0025,1532674153
5a433251a78f,angle,4,4,4,9,19,7,88,12,5,105,0.03367992818029474,0.848,1381982257
5ae60acbe778,angle,4,4,4,11,25,9,88,12,5,105,0.023827312068529796,1.1004,1839165056
5b0b67d65323,angle,4,4,4,14,25,13,88,12,5,105,0.025829157317549246,1.1615,4142536070
5c8acd9c9626,angle,4,4,4,13,26,10,88,12,5,105,0.025270210923770867,0.9957,3019902518
5d8550d26de7,angle,4,4,4,14,26,10,88,12,5,105,0.026597341649589323,1.1614,1011609908
5e2924b6db7f,angle,4,4,4,10,23,7,88,12,5,105,0.03126437907383874,0.9653,1306620416
5edd8b055e68,angle,4,4,4,7,16,4,88,12,5,105,0.025695605350021362,1.1894,2659268012
5f60874932a6,angle,4,4,4,4,16,0,88,12,5,105,0.03721887374116789,0.7025,1795492178
5f884ab719a4,angle,4,4,4,14,27,11,88,12,5,105,0.031119944997770238,0.9837,715472602
6075780720d8,angle,4,4,4,8,20,4,88,12,5,105,0.02144274681720331,0.974,971113176
6075780720d8,angle,4,4,4,8,20,4,88,12,5,105,0.025131913390436588,0.8246,2058392136
60a8006fddac,angle,4,4,4,7,16,4,88,12,5,105,0.04580003463249992,0.7921,3867356318
60cdb38dbb38,angle,4,4,4,9,19,7,88,12,5,105,0.024520191780274706,0.9601,3885926828
61c04d782603,angle,4,4,4,7,16,4,88,12,5,105,0.03798213501567593,0.7863,2796845520
61d483adacb5,angle,4,4,4,13,26,10,88,12,5,105,0.017754393227022047,1.2203,1659890532
61d8ee298451,angle,4,4,4,14,20,12,88,12,5,105,0.04686234392844734,1.5475,636622992
631ea99bc43c,angle,4,4,4,12,24,8,88,12,5,105,0.030213825654686135,0.9303,210629583
63f91ae70bc9,angle,4,4,4,13,26,10,88,12,5,105,0.023740655217530816,1.1718,737764414
63f92903b7da,angle,4,4,4,14,26,10,88,12,5,105,0.015620810557896197,1.088,2366592010
660686604c65,angle,4,4,4,10,22,6,88,12,5,105,0.020411581781819562,0.8501,2245077724
664ebfae93dd,angle,4,4,4,15,26,14,88,12,5,105,0.028614452720299315,1.1383,256339928
6656ca701b62,angle,4,4,4,15,25,13,88,12,5,105,0.021733228041100876,0.933,1827808292
67aaf30d6a66,angle,4,4,4,15,26,14,88,12,5,105,0.015049463894768465,1.1016,3901187077
67d58a8439aa,angle,4,4,4,4,16,0,88,12,5,105,0.0418692865092541,0.7968,3281858537
691c49120766,angle,4,4,4,10,23,7,88,12,5,105,0.017614255014511793,1.037,3157708142
697afbdf8daa,angle,4,4,4,10,19,7,88,12,5,105,0.04230971366595732,0.9561,2400035323
6a29efbc4db1,angle,4,4,4,14,26,10,88,12,5,105,0.016875905655773144,1.0343,24636009
6a2bc7144044,angle,4,4,4,11,22,10,88,12,5,105,0.02911500826086851,0.9342,1370013044
6b81026e8dc1,angle,4,4,4,12,27,7,88,12,5,105,0.018990091646624237,1.0321,1198965453
6bced5a08fbb,angle,4,4,4,7,19,3,88,12,5,105,0.021260376499221672,0.7221,2808929930
6c06e2848b17,angle,4,4,4,11,26,6,88,12,5,105,0.021582187043922976,0.9221,4277494452
6c1699daf1ec,angle,4,4,4,16,23,15,88,12,5,105,0.04760062492580576,0.9412,1096393325
6c71145ed992,angle,4,4,4,8,20,4,88,12,5,105,0.027707313075328276,0.8593,3381728836
6dd137af510f,angle,4,4,4,7,19,3,88,12,5,105,0.01618698242633385,0.9185,2097297837
6df3d7537ca4,angle,4,4,4,7,16,4,88,12,5,105,0.03906384987770906,0.7513,1437062196
6f8da0858071,angle,4,4,4,15,27,11,88,12,5,105,0.027619635107312825,1.0104,340148674
711973c45164,angle,4,4,4,11,23,7,88,12,5,105,0.02338997041134041,0.9519,2629879869
712d8aea6e74,angle,4,4,4,15,24,12,88,12,5,105,0.020512146368264324,0.9874,2630855335
71fd367bd6d4,angle,4,4,4,9,27,3,88,12,5,105,0.018007910558505195,0.9675,2035552185
72f7705457f9,angle,4,4,4,15,22,14,88,12,5,105,0.018206241051814297,1.0216,3787514254
