baseline,kind,seed,total_params,val_rmse,test_rmse,wall_clock_seconds
C1_bottleneck,classical,0,93,0.04940473327527666,0.05072929854178865,0.03502608323469758
C1_bottleneck,classical,1,93,0.054436687669350815,0.05592623365951732,0.03266395768150687
C1_bottleneck,classical,2,93,0.04793505590109618,0.0498657048043504,0.03316862462088466
C1_bottleneck,classical,3,93,0.06088573949336731,0.061279786951805866,0.033026874996721745
C1_bottleneck,classical,4,93,0.0477733114868943,0.048291639013778226,0.03270316729322076
C2_param_matched_mlp,classical,0,107,0.029210637985708596,0.033176154796907505,0.04874524986371398
C2_param_matched_mlp,classical,1,107,0.02138428237722682,0.02309467349069729,0.04391091596335173
C2_param_matched_mlp,classical,2,107,0.027549649001745564,0.028796984365908714,0.04344412498176098
C2_param_matched_mlp,classical,3,107,0.03022606272295233,0.03149798491305145,0.04340891679748893
C2_param_matched_mlp,classical,4,107,0.025583136675861262,0.02936584338320523,0.04346162499859929
Q1_fixed_hea,fixed_vqc,0,105,0.02599055816234803,0.026758366802968225,0.948040041141212
Q1_fixed_hea,fixed_vqc,1,105,0.03216929922703507,0.029816566033198565,0.8479720838367939
Q1_fixed_hea,fixed_vqc,2,105,0.018030477945905787,0.0170496635177784,0.8755025407299399
Q1_fixed_hea,fixed_vqc,3,105,0.021759628294065463,0.02092016116849006,0.8952034576795995
Q1_fixed_hea,fixed_vqc,4,105,0.024918431271392,0.026446407949772238,0.8801309172995389
Q2_fixed_random,fixed_vqc,0,105,0.014769749011801059,0.017986451069127527,1.0967312501743436
Q2_fixed_random,fixed_vqc,1,105,0.015862395072813125,0.02060225662100793,1.165815040934831
Q2_fixed_random,fixed_vqc,2,105,0.021988119786279556,0.02095418710480985,1.165044916793704
Q2_fixed_random,fixed_vqc,3,105,0.027150299699049637,0.027392348290173365,1.1818848750554025
Q2_fixed_random,fixed_vqc,4,105,0.01722087563689575,0.021162303786108526,1.1717229997739196
