seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G7_acc,7,refine,False,,0.125,,0.052883343645402814,0.05359132638902786,0.05611441035850029,0.9471166563545972,0.9464086736109721,0.9438855896414997
0,LLM-Closed,nn-real-zigzag-v1,6,refine,False,,0.625,topology_redesign,0.030143308747907716,0.03370330198924698,0.03550788539565497,0.9698566912520923,0.966296698010753,0.964492114604345
0,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.0784859283632453,0.07683522898034312,0.07968076004700642,0.9215140716367547,0.9231647710196569,0.9203192399529936
0,Random,R2,2,explore,False,,,,0.07400210103043603,0.07236737971538754,0.07523646785725191,0.925997898969564,0.9276326202846125,0.9247635321427481
1,Greedy,G7_acc,7,refine,False,,0.0625,,0.37343571117255014,0.3453091019443054,0.37027680048070244,0.6265642888274499,0.6546908980556946,0.6297231995192976
1,LLM-Closed,real-ladder-inward,1,explore,False,,0.5,,0.05405084748347788,0.04626638693042118,0.052844496528281604,0.9459491525165221,0.9537336130695788,0.9471555034717184
1,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07976941603825582,0.08300359221035214,0.07973935670922683,0.9202305839617442,0.9169964077896479,0.9202606432907732
1,Random,R3,3,explore,False,,,,0.05034251624542008,0.05674439396150621,0.050748335632747166,0.9496574837545799,0.9432556060384938,0.9492516643672528
2,Greedy,G6_acc,6,refine,False,,0.0625,,0.4066515797035455,0.3930048132972396,0.40266729929834866,0.5933484202964545,0.6069951867027604,0.5973327007016513
2,LLM-Closed,mirror-chain,3,explore,False,,0.9375,,0.051118829208912864,0.04836484298555188,0.050600659798823,0.9488811707910871,0.9516351570144481,0.949399340201177
2,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07806273562961885,0.08011200575091237,0.07906161844404291,0.9219372643703811,0.9198879942490876,0.9209383815559571
2,Random,R3,3,explore,False,,,,0.3842376065580454,0.3678463538059167,0.37925921338480695,0.6157623934419546,0.6321536461940833,0.620740786615193
3,Greedy,G6_acc,6,refine,False,,0.0625,,0.38409146093553037,0.37862517602128587,0.38207716265295444,0.6159085390644696,0.6213748239787141,0.6179228373470456
3,LLM-Closed,nn-real-sweep-v1,7,refine,False,,0.5,topology_redesign,0.034972137070673925,0.033993966179306834,0.0346697152479325,0.9650278629293261,0.9660060338206932,0.9653302847520675
3,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07618349884778475,0.0794919013926263,0.07752504237122948,0.9238165011522153,0.9205080986073737,0.9224749576287705
3,Random,R7,7,explore,False,,,,0.07236602186092633,0.0756921850813983,0.07371479360887279,0.9276339781390737,0.9243078149186017,0.9262852063911272
4,Greedy,G8_acc,8,refine,False,,0.0625,,0.04943332698710168,0.04743861336802124,0.05056007424157927,0.9505666730128983,0.9525613866319788,0.9494399257584207
4,LLM-Closed,xxz-nn-latent-pull,5,refine,False,,0.875,topology_redesign,0.034234575904594555,0.03057204865018459,0.03528601870034864,0.9657654240954054,0.9694279513498154,0.9647139812996514
4,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07835659385323002,0.07791678505632949,0.07964483028595404,0.92164340614677,0.9220832149436705,0.920355169714046
4,Random,R2,2,explore,False,,,,0.050164271371831104,0.048147670059987324,0.05142490906393993,0.9498357286281689,0.9518523299400127,0.9485750909360601
5,Greedy,G6_acc,6,refine,False,,0.0625,,0.5001233290290323,0.5001243188320521,0.5001251042697736,0.49987667097096766,0.49987568116794784,0.4998748957302263
5,LLM-Closed,nn-real-balance-v1,5,refine,False,,0.6875,global_redesign,0.047972206289836006,0.049771775629520065,0.05056496735907856,0.952027793710164,0.9502282243704799,0.9494350326409214
5,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.0777184274247128,0.07817986168237623,0.07781572863244657,0.9222815725752872,0.9218201383176238,0.9221842713675534
5,Random,R2,2,explore,False,,,,0.5047267617903717,0.5044966668203625,0.5042471155408979,0.4952732382096283,0.49550333317963746,0.49575288445910215
6,Greedy,G8_acc,8,refine,False,,0.0625,,0.5000000278675761,0.5000000304946917,0.500000027948121,0.49999997213242386,0.49999996950530834,0.49999997205187896
6,LLM-Closed,trash-to-latent-sweep,3,explore,False,,0.5625,,0.05065745100141772,0.04383287103128841,0.05201077858793779,0.9493425489985823,0.9561671289687116,0.9479892214120622
6,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07590276948583696,0.07840265807433566,0.07690985001808093,0.924097230514163,0.9215973419256643,0.9230901499819191
6,Random,R7,7,explore,False,,,,0.5055340769505423,0.5042991750667849,0.5058013449538608,0.49446592304945775,0.49570082493321505,0.4941986550461393
7,Greedy,G4_warm,4,explore,False,,0.125,,0.0337273919236587,0.032908373749795494,0.032352821257597086,0.9662726080763413,0.9670916262502045,0.9676471787424029
7,LLM-Closed,xxz-bridge-v2,6,refine,False,,0.3125,local_adjustment,0.049232978520673876,0.05140827965625183,0.050556007729219865,0.9507670214793261,0.9485917203437482,0.9494439922707801
7,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07898601034831354,0.07980691160923392,0.07879171939734708,0.9210139896516865,0.9201930883907661,0.9212082806026529
7,Random,R2,2,explore,False,,,,0.0685395843220642,0.06773603401164852,0.06693654573801266,0.9314604156779358,0.9322639659883515,0.9330634542619873
8,Greedy,G5_acc,5,refine,False,,0.0625,,0.050185841297447076,0.052202911207609115,0.05058872267840431,0.9498141587025529,0.9477970887923909,0.9494112773215957
8,LLM-Closed,nn-real-split-01,7,refine,False,,0.6875,global_redesign,0.050155825176563695,0.05217284377350706,0.05055897955733113,0.9498441748234363,0.9478271562264929,0.9494410204426689
8,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07649903291941207,0.07813535747151013,0.07830815807700642,0.9235009670805879,0.9218646425284899,0.9216918419229936
8,Random,R5,5,explore,False,,,,0.36286852527882363,0.3577903144296082,0.3700534551881167,0.6371314747211764,0.6422096855703918,0.6299465448118833
9,Greedy,G4_warm,4,explore,False,,0.0625,,0.33308113386489,0.32849285392664684,0.33487197070534336,0.66691886613511,0.6715071460733532,0.6651280292946566
9,LLM-Closed,nn-real-split-v2,6,refine,False,,0.4375,topology_redesign,0.033479798656330884,0.02924104299325425,0.03489475118098884,0.9665202013436691,0.9707589570067457,0.9651052488190112
9,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.0744250152726641,0.07335402862182416,0.07453461547355245,0.9255749847273359,0.9266459713781758,0.9254653845264476
9,Random,R4,4,explore,False,,,,0.05115470788340115,0.048523909745931904,0.05193295203008763,0.9488452921165988,0.9514760902540681,0.9480670479699124
10,Greedy,G1_warm,1,explore,False,,0.0625,,0.5159625279819654,0.515318522206351,0.5149060552143209,0.4840374720180346,0.48468147779364906,0.48509394478567913
10,LLM-Closed,trash-to-latent-chain,3,explore,False,,0.75,,0.05125884427516647,0.05242715903916206,0.05239857247470958,0.9487411557248335,0.9475728409608379,0.9476014275252904
10,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.0805464013136401,0.08038719372052616,0.07968925584615949,0.9194535986863599,0.9196128062794738,0.9203107441538405
10,Random,R1,1,explore,False,,,,0.0782822021565055,0.07814416099446875,0.07745268105412251,0.9217177978434945,0.9218558390055313,0.9225473189458775
11,Greedy,G7_acc,7,refine,False,,0.0625,,4.376112615989136e-05,4.3855498151668115e-05,4.3761153450061485e-05,0.9999562388738401,0.9999561445018483,0.9999562388465499
11,LLM-Closed,latent-collect,2,explore,False,,0.875,,0.023994679312336897,0.02286006100113569,0.02394748881259723,0.9760053206876631,0.9771399389988643,0.9760525111874028
