task,n_qubits,arm,n_replicates,median,iqr,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
gauss_peak,3,evolutionary_structure,5,0.03958822613925006,0.020104434610885676,0.03999863627253413,0.015818021470108374,0.025564393331680053,0.06350800850211706
gauss_peak,3,random_structure,5,0.03128863386220801,0.0017235374205273706,0.033424341762374764,0.010851571976136384,0.022265119442035828,0.051555943463732185
gauss_peak,3,ref_strongent_d2,5,0.04435651749655035,0.0044701587932859665,0.0425814984286149,0.011294198963599695,0.024205869453355986,0.05482671866204827
gauss_peak,4,evolutionary_structure,5,0.022162853081441107,0.002095930065314614,0.02471136967383524,0.006353310441846698,0.020214347329295442,0.035853708761179846
gauss_peak,4,random_structure,5,0.024499632589419944,0.0017397921447884213,0.02381242197569548,0.0014051350348431918,0.021670166457784225,0.024938760482320133
gauss_peak,4,ref_strongent_d2,5,0.02782222388703037,0.0028461714191342045,0.030635074604927443,0.009605395512097041,0.02383105552309762,0.04750254936859761
gauss_peak,6,evolutionary_structure,5,0.02111920156718948,0.0011781831718506199,0.021099661687845696,0.0007275619013077042,0.020199202009869514,0.021878718842389462
gauss_peak,6,random_structure,5,0.020526954397256034,0.001186760240893557,0.020696677561913568,0.0011544705398008398,0.018996358760868796,0.02192082065910964
gauss_peak,6,ref_strongent_d2,5,0.04966145082538848,0.008003814729309139,0.044594756699627244,0.012823524969660284,0.023259002626251128,0.056162010675258146
gauss_peak,8,evolutionary_structure,5,0.02076050267728644,0.001440720984162095,0.020556905365860124,0.0011999693669001042,0.019241789825181304,0.02222845267666138
gauss_peak,8,random_structure,5,0.02058845975889888,0.0017288994757955582,0.020850722538386327,0.0013191152155862143,0.019027036230930806,0.022189314406555843
gauss_peak,8,ref_strongent_d2,5,0.0442913167524905,0.01040232895824443,0.0418496491400968,0.01226993092194975,0.02163191950170572,0.05209956883758304
sin_freq,3,evolutionary_structure,5,0.09102535111914872,0.03059473697200646,0.10288063891350349,0.02777318231633359,0.07540638947809798,0.14435000112831115
sin_freq,3,random_structure,5,0.10237225325333699,0.05197471224250426,0.10049647610633902,0.02975501818286199,0.06592407672319431,0.1319806744775414
sin_freq,3,ref_strongent_d2,5,0.06990808249482465,0.010894067828205845,0.07049128334451618,0.009365578680089215,0.05730112619242601,0.08108020227418375
sin_freq,4,evolutionary_structure,5,0.08553593733791004,0.01082190586299571,0.0849469647786234,0.006538522308228304,0.07690010382284401,0.09181572574135777
sin_freq,4,random_structure,5,0.09135195218842099,0.04576313147410112,0.10546770087766624,0.03470958874271799,0.07320107625312547,0.15570772420627496
sin_freq,4,ref_strongent_d2,5,0.13165099036766406,0.0006038901244040384,0.13487048458410028,0.008331318905406069,0.12993052110610895,0.14971467390351217
sin_freq,6,evolutionary_structure,5,0.09812750888333932,0.06388549319102722,0.09760671303169279,0.038898615130180364,0.0574225912881217,0.14615772313556505
sin_freq,6,random_structure,5,0.06034971570915063,0.016974161998170804,0.06503542595459284,0.01066193274319322,0.054221035193321734,0.07801898185562632
sin_freq,6,ref_strongent_d2,5,0.19759617911434776,0.0074485198272211395,0.19883639821494392,0.005643131009418759,0.19126767254960694,0.20492970526782725
sin_freq,8,evolutionary_structure,5,0.05006088588109611,0.013528992371715773,0.0955525362453162,0.10940477882721522,0.04086620144292475,0.2909756697230312
sin_freq,8,random_structure,5,0.057937920170644495,0.021050979817204482,0.06020173815207307,0.01386828890294625,0.04596371220201175,0.07858979716533342
sin_freq,8,ref_strongent_d2,5,0.29469535652520623,0.0255872223204191,0.2848975553776823,0.016523752752800984,0.26266657636479646,0.29809892841228375
