task,n_qubits,arm,n_replicates,median,iqr,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
gauss_peak_legacy,3,evolutionary_joint,10,0.15621348650331246,0.0830763955239199,0.15584209306109822,0.04297287034420005,0.1134366555374991,0.20067880677255717
gauss_peak_legacy,3,random_joint,10,0.13256828290558892,0.05185590451988788,0.14023521438339023,0.030805086455349736,0.11391252432521357,0.16925181045703266
sin_freq,3,evolutionary_joint,10,0.29188944799967376,0.05653200114816681,0.2724456411181019,0.0323267316860135,0.23057525097184423,0.2960551850880173
sin_freq,3,random_joint,10,0.27046574354794434,0.032376430498752384,0.26397001632466305,0.028051518867096687,0.2421114570477776,0.2855326668387984
sin_freq,5,evolutionary_joint,10,0.2927513528778758,0.003940537720289572,0.292321392588084,0.002983503145519522,0.2899290028555826,0.29456639120853584
sin_freq,5,random_joint,10,0.29075482410518094,0.004976159390450263,0.29244338251207236,0.003952635680015699,0.2891551513066438,0.29575054161090486
