task,n_qubits,arm,unique_evaluations,median_best_val,q25,q75
gauss_peak_legacy,3,evolutionary_joint,1,0.23619212469613393,0.2078347288812501,0.29505378706292135
gauss_peak_legacy,3,evolutionary_joint,2,0.2081449321279048,0.2002008781996276,0.2130877433090205
gauss_peak_legacy,3,evolutionary_joint,3,0.20185829509178818,0.19845790742986,0.20735660064127634
gauss_peak_legacy,3,evolutionary_joint,4,0.20049378530644935,0.17786251292488042,0.20735660064127634
gauss_peak_legacy,3,evolutionary_joint,5,0.19894126198417528,0.13653340189586768,0.20591329410596973
gauss_peak_legacy,3,evolutionary_joint,6,0.19894126198417528,0.1334748167824559,0.20591329410596973
gauss_peak_legacy,3,evolutionary_joint,7,0.16820694778116557,0.1196945100134929,0.20073688456102617
gauss_peak_legacy,3,evolutionary_joint,8,0.1568000411768213,0.1196945100134929,0.20030333785895582
gauss_peak_legacy,3,evolutionary_joint,9,0.1568000411768213,0.1196945100134929,0.20030333785895582
gauss_peak_legacy,3,evolutionary_joint,10,0.1568000411768213,0.11587362973981388,0.20030333785895582
gauss_peak_legacy,3,evolutionary_joint,11,0.1568000411768213,0.11587362973981388,0.20030333785895582
gauss_peak_legacy,3,evolutionary_joint,12,0.1568000411768213,0.11587362973981388,0.20030333785895582
gauss_peak_legacy,3,evolutionary_joint,13,0.1568000411768213,0.11587362973981388,0.2002834993285393
gauss_peak_legacy,3,evolutionary_joint,14,0.1568000411768213,0.11587362973981388,0.19679633483694434
gauss_peak_legacy,3,evolutionary_joint,15,0.1568000411768213,0.11587362973981388,0.19679633483694434
gauss_peak_legacy,3,evolutionary_joint,16,0.1565336087029427,0.11587362973981388,0.19679633483694434
gauss_peak_legacy,3,random_joint,1,0.20718867564795734,0.20193167467461215,0.20865408696563803
gauss_peak_legacy,3,random_joint,2,0.2023404706281826,0.1922618039670685,0.20676536926048897
gauss_peak_legacy,3,random_joint,3,0.17756943107119244,0.13971875757791796,0.2023230698285141
gauss_peak_legacy,3,random_joint,4,0.17756943107119244,0.13971875757791796,0.2023230698285141
gauss_peak_legacy,3,random_joint,5,0.1655653579420994,0.13971875757791796,0.19641277072584923
gauss_peak_legacy,3,random_joint,6,0.16360422155847043,0.12372542016048543,0.17054962356934775
gauss_peak_legacy,3,random_joint,7,0.15133191189590106,0.12372542016048543,0.17024321537565143
gauss_peak_legacy,3,random_joint,8,0.15133191189590106,0.12372542016048543,0.17024321537565143
gauss_peak_legacy,3,random_joint,9,0.15133191189590106,0.12372542016048543,0.17024321537565143
gauss_peak_legacy,3,random_joint,10,0.15133191189590106,0.11974606576255936,0.17024321537565143
gauss_peak_legacy,3,random_joint,11,0.15133191189590106,0.11974606576255936,0.17024321537565143
gauss_peak_legacy,3,random_joint,12,0.15133191189590106,0.11974606576255936,0.17024321537565143
gauss_peak_legacy,3,random_joint,13,0.15133191189590106,0.11974606576255936,0.17024321537565143
gauss_peak_legacy,3,random_joint,14,0.14702372923312665,0.11974606576255936,0.16427838155658858
gauss_peak_legacy,3,random_joint,15,0.14702372923312665,0.11974606576255936,0.16427838155658858
gauss_peak_legacy,3,random_joint,16,0.13065317851347225,0.11931310053939574,0.16427838155658858
