method,candidates_used,best_so_far_test_fid
Greedy,1,0.5237569093978155
Greedy,2,0.5676635845675194
Greedy,3,0.623520247326209
Greedy,4,0.6643003162551274
Greedy,5,0.6678092913854042
Greedy,6,0.6749877243946251
Greedy,7,0.6763962801473385
Greedy,8,0.6936106923673903
LLM-Closed,1,0.7690913222553434
LLM-Closed,2,0.7867832094317952
LLM-Closed,3,0.7893512171767129
LLM-Closed,4,0.8035856447044473
LLM-Closed,5,0.8314386265944053
LLM-Closed,6,0.8655229049618454
LLM-Closed,7,0.8690818311659628
LLM-Closed,8,0.8728025201143491
LLM-Open,1,0.870977195520036
LLM-Open,2,0.8850189223219346
LLM-Open,3,0.8850189223219346
LLM-Open,4,0.9183820660146647
LLM-Open,5,0.9183820660146647
LLM-Open,6,0.9222153995380729
LLM-Open,7,0.9222153995380729
LLM-Open,8,0.9222153995380729
Random,1,0.5527299233384885
Random,2,0.6248891710174848
Random,3,0.6429184896818112
Random,4,0.6723620683828284
Random,5,0.6793398878426156
Random,6,0.7108079301054241
Random,7,0.7108079301054241
Random,8,0.7254221793360361
