seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Random,R1,1,explore,False,,,,0.6496806780305693,0.6790329073392682,0.6723456222911408,0.3503193219694307,0.3209670926607317,0.3276543777088592
0,Random,R2,2,explore,False,,,,0.48111535470701816,0.4438519045962068,0.4655027826255579,0.5188846452929818,0.5561480954037932,0.5344972173744421
0,Random,R3,3,explore,False,,,,0.31542387863336185,0.2557496640701137,0.2802950112104916,0.6845761213666381,0.7442503359298863,0.7197049887895084
0,Random,R4,4,explore,False,,,,0.5874049269659487,0.5709042373322348,0.5782164568382873,0.41259507303405135,0.42909576266776517,0.42178354316171274
0,Random,R5,5,explore,False,,,,0.3208551742020066,0.2401654372282228,0.27407895417177697,0.6791448257979934,0.7598345627717772,0.725921045828223
0,Random,R6,6,explore,False,,,,0.6091638944095332,0.632052309402418,0.6257218899709625,0.3908361055904668,0.367947690597582,0.3742781100290375
0,Random,R7,7,explore,False,,,,0.5721773481530075,0.5484163182563158,0.5627172189994667,0.4278226518469925,0.4515836817436842,0.43728278100053336
0,Random,R8,8,explore,False,,,,0.32680690678819735,0.24566145392773786,0.2777563923594938,0.6731930932118027,0.7543385460722621,0.7222436076405062
0,Greedy,G1_warm,1,explore,False,,,,0.3910687353392448,0.2967482078266276,0.3277459759266069,0.6089312646607552,0.7032517921733724,0.6722540240733931
0,Greedy,G2_warm,2,explore,False,,,,0.6546047828821917,0.6828882046927556,0.6768280995451754,0.34539521711780824,0.31711179530724437,0.32317190045482463
0,Greedy,G3_warm,3,explore,False,,,,0.5115311605345758,0.5218627695176852,0.5213070261401506,0.4884688394654242,0.4781372304823148,0.47869297385984944
0,Greedy,G4_warm,4,explore,False,,,,0.6671045077332363,0.6993742354756423,0.6902684063085742,0.33289549226676374,0.30062576452435774,0.3097315936914257
0,Greedy,G5_acc,5,refine,False,,0.04166666666666663,,0.3476566395639049,0.2555702645742589,0.2905681113266483,0.6523433604360951,0.7444297354257411,0.7094318886733517
0,Greedy,G6_acc,6,refine,False,,0.04166666666666663,,0.2915911083715419,0.2097710257737635,0.24672445879477656,0.7084088916284581,0.7902289742262365,0.7532755412052234
0,Greedy,G7_rej,7,refine,False,,0.04166666666666663,,0.5618570938345294,0.5545950636153198,0.561169994930986,0.4381429061654706,0.4454049363846802,0.43883000506901404
0,Greedy,G8_rej,8,refine,False,,0.04166666666666663,,0.29174475604915306,0.20986484385547,0.24681313147310768,0.7082552439508469,0.79013515614453,0.7531868685268923
0,LLM-Open,nn-real-l2r,1,explore,False,,,,0.12121348103040697,0.10346609730958889,0.12850542151839062,0.878786518969593,0.8965339026904111,0.8714945784816094
0,LLM-Open,nn-real-r2l,2,explore,False,,,,0.11295393877069326,0.090193892557763,0.11124118529118976,0.8870460612293067,0.909806107442237,0.8887588147088102
0,LLM-Open,latent-pull-left,3,explore,False,,,,0.13623860088058748,0.11588903062189593,0.14230941203155,0.8637613991194125,0.8841109693781041,0.85769058796845
0,LLM-Open,latent-pull-right,4,explore,False,,,,0.07746112929329585,0.055074176614555825,0.07729389140872245,0.9225388707067042,0.9449258233854442,0.9227061085912776
0,LLM-Open,center-braid-real,5,explore,False,,,,0.27095578804941134,0.1983309775648444,0.23393706078143983,0.7290442119505887,0.8016690224351556,0.7660629392185602
0,LLM-Open,edge-to-center,6,explore,False,,,,0.07012788186958352,0.05348472882577504,0.07410836798088505,0.9298721181304165,0.946515271174225,0.925891632019115
0,LLM-Open,mirror-stagger,7,explore,False,,,,0.2127188177230812,0.1442658326369326,0.18410769429663154,0.7872811822769188,0.8557341673630674,0.8158923057033685
0,LLM-Open,latent-anchored,8,explore,False,,,,0.19498086374643253,0.13532151452179553,0.1711809674043716,0.8050191362535675,0.8646784854782045,0.8288190325956284
1,Random,R1,1,explore,False,,,,0.4728619527535952,0.4566485953248345,0.4710945551508583,0.5271380472464048,0.5433514046751655,0.5289054448491417
1,Random,R2,2,explore,False,,,,0.5673608147702314,0.5575611613771545,0.5667396945855483,0.4326391852297686,0.4424388386228455,0.4332603054144517
1,Random,R3,3,explore,False,,,,0.5020546771246587,0.4898396110420006,0.5012856147072071,0.4979453228753413,0.5101603889579994,0.4987143852927929
1,Random,R4,4,explore,False,,,,0.5903167413997298,0.5792602078624525,0.589051117515923,0.4096832586002702,0.4207397921375476,0.41094888248407696
