experiment,task,n_qubits,arm,replicate,data_seed,search_seed,budget_unique,val_metric_name,val_metric_value,primary_test_metric,primary_test_value,test_rmse,test_mae,test_auc,test_brier,num_proposed,num_valid,num_invalid,num_duplicate,num_failed,num_unique,stop_reason,logical_gate_count,logical_depth,two_qubit_count,parameter_count,transpiled_depth_line,transpiled_2q_line,llm_calls,llm_tokens,llm_cost_usd,llm_mock,model_snapshot
E3,gauss_peak,4,ref_strongent_d2,1,1001,2001,16,rmse,0.02444861635275853,test_rmse,0.025586686413388706,0.025586686413388706,0.018944860111107974,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,gauss_peak,4,ref_strongent_d2,2,1002,2002,16,rmse,0.04557378496730778,test_rmse,0.04750254936859761,0.04750254936859761,0.036567556433774476,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,gauss_peak,4,ref_strongent_d2,3,1003,2003,16,rmse,0.031191647141264548,test_rmse,0.02843285783252291,0.02843285783252291,0.02274679810425884,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,gauss_peak,4,ref_strongent_d2,4,1004,2004,16,rmse,0.023378327767882158,test_rmse,0.02383105552309762,0.02383105552309762,0.018637206582861957,,,1,1,0,0,0,1,arm_exhausted,33,15,8,24,33,22,,,,,
E3,gauss_peak,6,evolutionary_structure,0,1000,2000,16,rmse,0.02055570590023587,test_rmse,0.021878718842389462,0.021878718842389462,0.014855041685209416,,,16,16,0,0,0,16,budget_exhausted,51,28,34,32,193,140,,,,,
E3,gauss_peak,6,evolutionary_structure,1,1001,2001,16,rmse,0.020556279633935155,test_rmse,0.021739684595815326,0.021739684595815326,0.015506349261977484,,,16,16,0,0,0,16,budget_exhausted,62,32,42,29,183,148,,,,,
E3,gauss_peak,6,evolutionary_structure,2,1002,2002,16,rmse,0.020585439445735185,test_rmse,0.020561501423964706,0.020561501423964706,0.013709245880153771,,,17,16,0,1,0,16,budget_exhausted,63,36,36,42,231,157,,,,,
E3,gauss_peak,6,evolutionary_structure,3,1003,2003,16,rmse,0.025522676727426228,test_rmse,0.020199202009869514,0.020199202009869514,0.014525376146076163,,,16,16,0,0,0,16,budget_exhausted,85,34,44,49,245,175,,,,,
E3,gauss_peak,6,evolutionary_structure,4,1004,2004,16,rmse,0.020663204821427743,test_rmse,0.02111920156718948,0.02111920156718948,0.015344687538250317,,,18,16,0,2,0,16,budget_exhausted,43,27,36,30,210,153,,,,,
E3,gauss_peak,6,random_structure,0,1000,2000,16,rmse,0.019185615232698003,test_rmse,0.020526954397256034,0.020526954397256034,0.013714735825949148,,,16,16,0,0,0,16,budget_exhausted,71,26,41,55,206,157,,,,,
E3,gauss_peak,6,random_structure,1,1001,2001,16,rmse,0.021499198882179705,test_rmse,0.02192082065910964,0.02192082065910964,0.01604923889446832,,,16,16,0,0,0,16,budget_exhausted,56,35,42,44,216,187,,,,,
E3,gauss_peak,6,random_structure,2,1002,2002,16,rmse,0.01952518515354031,test_rmse,0.018996358760868796,0.018996358760868796,0.01271285575637647,,,16,16,0,0,0,16,budget_exhausted,69,29,27,57,289,130,,,,,
E3,gauss_peak,6,random_structure,3,1003,2003,16,rmse,0.02605769819507427,test_rmse,0.021613007116613462,0.021613007116613462,0.015859899256641812,,,16,16,0,0,0,16,budget_exhausted,39,22,27,35,152,121,,,,,
E3,gauss_peak,6,random_structure,4,1004,2004,16,rmse,0.0207863147988687,test_rmse,0.020426246875719905,0.020426246875719905,0.01478800832257968,,,16,16,0,0,0,16,budget_exhausted,58,20,20,37,97,47,,,,,
E3,gauss_peak,6,ref_strongent_d2,0,1000,2000,16,rmse,0.04287327142651451,test_rmse,0.04294375232096467,0.04294375232096467,0.03546643054933982,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
E3,gauss_peak,6,ref_strongent_d2,1,1001,2001,16,rmse,0.05079314167283589,test_rmse,0.05094756705027381,0.05094756705027381,0.037663395189488476,,,1,1,0,0,0,1,arm_exhausted,49,19,12,36,50,35,,,,,
