task,n_qubits,arm,replicate,logical_gate_count,logical_depth,two_qubit_count,controlled_rotation_count,parameter_count,transpiled_depth_line,transpiled_depth_ring,transpiled_depth_all_to_all,transpiled_2q_line,transpiled_2q_ring,transpiled_2q_all_to_all
gauss_peak,3,evolutionary_structure,0,9,9,8,6,6,53,41,41,23,14,14
gauss_peak,3,evolutionary_structure,1,15,8,4,4,14,43,43,43,8,8,8
gauss_peak,3,evolutionary_structure,2,10,9,8,5,6,40,34,34,19,13,13
gauss_peak,3,evolutionary_structure,3,13,10,8,4,7,50,47,47,18,12,12
gauss_peak,3,evolutionary_structure,4,13,13,12,12,12,103,78,78,36,24,24
gauss_peak,3,random_structure,0,12,10,8,5,8,58,51,51,22,13,13
gauss_peak,3,random_structure,1,10,6,3,3,9,30,26,26,9,6,6
gauss_peak,3,random_structure,2,13,9,6,3,9,38,31,31,15,9,9
gauss_peak,3,random_structure,3,11,11,10,6,6,54,44,44,25,16,16
gauss_peak,3,random_structure,4,7,5,3,3,6,19,15,15,9,6,6
gauss_peak,3,ref_strongent_d2,0,25,13,6,0,18,30,18,18,12,6,6
gauss_peak,3,ref_strongent_d2,1,25,13,6,0,18,30,18,18,12,6,6
gauss_peak,3,ref_strongent_d2,2,25,13,6,0,18,30,18,18,12,6,6
gauss_peak,3,ref_strongent_d2,3,25,13,6,0,18,30,18,18,12,6,6
gauss_peak,3,ref_strongent_d2,4,25,13,6,0,18,30,18,18,12,6,6
gauss_peak,4,evolutionary_structure,0,35,23,23,19,30,156,118,101,84,54,42
gauss_peak,4,evolutionary_structure,1,28,16,16,6,17,87,56,38,57,34,22
gauss_peak,4,evolutionary_structure,2,14,8,7,7,13,51,39,28,23,20,14
gauss_peak,4,evolutionary_structure,3,20,12,9,9,19,65,70,52,30,27,18
gauss_peak,4,evolutionary_structure,4,25,15,11,11,24,106,93,70,37,34,22
gauss_peak,4,random_structure,0,25,19,20,10,14,112,107,84,64,51,30
gauss_peak,4,random_structure,1,29,16,17,11,22,114,91,78,55,37,28
gauss_peak,4,random_structure,2,31,15,10,10,18,99,95,75,32,29,20
gauss_peak,4,random_structure,3,13,8,6,3,9,39,25,21,16,12,9
gauss_peak,4,random_structure,4,29,16,16,10,22,87,81,67,51,38,26
gauss_peak,4,ref_strongent_d2,0,33,15,8,0,24,33,20,20,22,8,8
gauss_peak,4,ref_strongent_d2,1,33,15,8,0,24,33,20,20,22,8,8
gauss_peak,4,ref_strongent_d2,2,33,15,8,0,24,33,20,20,22,8,8
gauss_peak,4,ref_strongent_d2,3,33,15,8,0,24,33,20,20,22,8,8
gauss_peak,4,ref_strongent_d2,4,33,15,8,0,24,33,20,20,22,8,8
gauss_peak,6,evolutionary_structure,0,51,28,34,22,32,193,146,112,140,96,56
gauss_peak,6,evolutionary_structure,1,62,32,42,17,29,183,161,148,148,87,59
gauss_peak,6,evolutionary_structure,2,63,36,36,21,42,231,178,137,157,89,57
gauss_peak,6,evolutionary_structure,3,85,34,44,26,49,245,210,116,175,133,70
gauss_peak,6,evolutionary_structure,4,43,27,36,24,30,210,171,132,153,98,60
gauss_peak,6,random_structure,0,71,26,41,38,55,206,169,83,157,140,79
gauss_peak,6,random_structure,1,56,35,42,31,44,216,184,128,187,126,73
gauss_peak,6,random_structure,2,69,29,27,27,57,289,226,165,130,82,54
gauss_peak,6,random_structure,3,39,22,27,27,35,152,125,101,121,79,54
gauss_peak,6,random_structure,4,58,20,20,6,37,97,69,69,47,29,26
gauss_peak,6,ref_strongent_d2,0,49,19,12,0,36,50,24,24,35,12,12
