task,n_qubits,arm,unique_evaluations,median_best_val,q25,q75
gauss_peak,3,evolutionary_structure,1,0.08066572124444234,0.07500631408970568,0.1894270856711057
gauss_peak,3,evolutionary_structure,2,0.07916552954978708,0.07500631408970568,0.08042887972776763
gauss_peak,3,evolutionary_structure,3,0.07916552954978708,0.054506962308130125,0.08042887972776763
gauss_peak,3,evolutionary_structure,4,0.054506962308130125,0.05220505071240025,0.07916552954978708
gauss_peak,3,evolutionary_structure,5,0.054506962308130125,0.05220505071240025,0.07916552954978708
gauss_peak,3,evolutionary_structure,6,0.054349760864917045,0.05220505071240025,0.07875723027063278
gauss_peak,3,evolutionary_structure,7,0.054349760864917045,0.05220505071240025,0.073542012862992
gauss_peak,3,evolutionary_structure,8,0.054349760864917045,0.05220505071240025,0.073542012862992
gauss_peak,3,evolutionary_structure,9,0.054349760864917045,0.05220505071240025,0.073542012862992
gauss_peak,3,evolutionary_structure,10,0.05220505071240025,0.04403312000133894,0.054349760864917045
gauss_peak,3,evolutionary_structure,11,0.0507210995150257,0.04403312000133894,0.054349760864917045
gauss_peak,3,evolutionary_structure,12,0.0507210995150257,0.04403312000133894,0.054349760864917045
gauss_peak,3,evolutionary_structure,13,0.03865314288575573,0.023667151565761078,0.0507210995150257
gauss_peak,3,evolutionary_structure,14,0.03865314288575573,0.023667151565761078,0.0507210995150257
gauss_peak,3,evolutionary_structure,15,0.03865314288575573,0.023667151565761078,0.0507210995150257
gauss_peak,3,evolutionary_structure,16,0.03865314288575573,0.023667151565761078,0.0507210995150257
gauss_peak,3,random_structure,1,0.18403343099770278,0.07791269743194464,0.19090901157618884
gauss_peak,3,random_structure,2,0.056579514542219995,0.05290158498015337,0.0760997481087526
gauss_peak,3,random_structure,3,0.056579514542219995,0.05290158498015337,0.0760997481087526
gauss_peak,3,random_structure,4,0.056579514542219995,0.05290158498015337,0.0760997481087526
gauss_peak,3,random_structure,5,0.056579514542219995,0.05290158498015337,0.0760997481087526
gauss_peak,3,random_structure,6,0.056579514542219995,0.05290158498015337,0.0760997481087526
gauss_peak,3,random_structure,7,0.05290158498015337,0.02799441121845033,0.07507082708748151
gauss_peak,3,random_structure,8,0.05290158498015337,0.02799441121845033,0.07507082708748151
gauss_peak,3,random_structure,9,0.05290158498015337,0.02799441121845033,0.05518731044926236
gauss_peak,3,random_structure,10,0.05290158498015337,0.02799441121845033,0.05518731044926236
gauss_peak,3,random_structure,11,0.04334577512011313,0.02799441121845033,0.05290158498015337
gauss_peak,3,random_structure,12,0.04334577512011313,0.02799441121845033,0.05290158498015337
gauss_peak,3,random_structure,13,0.03227167213694278,0.02799441121845033,0.04334577512011313
gauss_peak,3,random_structure,14,0.03227167213694278,0.02799441121845033,0.04334577512011313
gauss_peak,3,random_structure,15,0.03227167213694278,0.02799441121845033,0.04334577512011313
gauss_peak,3,random_structure,16,0.030820404632250168,0.02799441121845033,0.03227167213694278
