seed,method,candidate,order,phase,fallback,invalid_errors,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Random,R1,1,explore,False,,0.3114849499419621,0.31633929786821646,0.32689875588023953,0.6885150500580379,0.6836607021317835,0.6731012441197605
0,Random,R2,2,explore,False,,0.2191515702739204,0.15900042223906985,0.18811385851676699,0.7808484297260796,0.8409995777609302,0.811886141483233
0,Random,R3,3,explore,False,,0.21412322569921194,0.15667140988151862,0.18475170686975462,0.7858767743007881,0.8433285901184814,0.8152482931302454
0,Random,R4,4,explore,False,,0.22942730335593464,0.16634782113315916,0.1964765246736333,0.7705726966440654,0.8336521788668408,0.8035234753263667
0,Random,R5,5,explore,False,,0.5164227644535861,0.5031949810292589,0.514834093597824,0.4835772355464138,0.4968050189707412,0.4851659064021761
0,Random,R6,6,explore,False,,0.5274363316226458,0.5235468066323443,0.5284002689527509,0.47256366837735414,0.47645319336765574,0.471599731047249
0,Random,R7,7,explore,False,,0.5140949844266842,0.508678602066883,0.5142700745864803,0.4859050155733158,0.491321397933117,0.4857299254135196
0,Random,R8,8,explore,False,,0.47218695859066384,0.48143053019899784,0.47947699659526855,0.5278130414093362,0.5185694698010022,0.5205230034047315
0,Greedy,G1_warm,1,explore,False,,0.5936453233056634,0.6148738438536878,0.6104346773178692,0.40635467669433656,0.3851261561463121,0.38956532268213084
0,Greedy,G2_warm,2,explore,False,,0.47218277507775896,0.4814259379495892,0.4794726118137931,0.527817224922241,0.5185740620504108,0.5205273881862069
0,Greedy,G3_warm,3,explore,False,,0.1451428862863433,0.10060301875402955,0.1275444246520041,0.8548571137136567,0.8993969812459705,0.8724555753479959
0,Greedy,G4_warm,4,explore,False,,0.24221587845718529,0.18421468265313745,0.20942847101211737,0.7577841215428147,0.8157853173468625,0.7905715289878826
0,Greedy,G5_acc,5,refine,False,,0.14458688948224818,0.10058086525786292,0.1273980466850302,0.8554131105177518,0.8994191347421371,0.8726019533149698
0,Greedy,G6_rej,6,refine,False,,0.3200834318176413,0.3237566702885196,0.3338125860517376,0.6799165681823587,0.6762433297114804,0.6661874139482624
0,Greedy,G7_rej,7,refine,False,,0.14271459074442694,0.10135908407814531,0.1275377821735566,0.8572854092555731,0.8986409159218547,0.8724622178264434
0,Greedy,G8_rej,8,refine,False,,0.20941344169535436,0.15575074917595233,0.18153466607566227,0.7905865583046456,0.8442492508240477,0.8184653339243377
0,LLM-Open,nn-real-l2r,1,explore,False,,0.03205180135215313,0.02229803941576025,0.03345725117050624,0.9679481986478469,0.9777019605842397,0.9665427488294938
0,LLM-Open,nn-real-r2l,2,explore,False,,0.09965590554453096,0.0822360211852885,0.10070385608810739,0.900344094455469,0.9177639788147115,0.8992961439118926
0,LLM-Open,latent-pull-left,3,explore,False,,0.09939147828728734,0.08297285258702247,0.10111509930471896,0.9006085217127127,0.9170271474129775,0.898884900695281
