method,candidates_used,best_so_far_test_fid
Greedy,1,0.6042775778455868
Greedy,2,0.6865874739011982
Greedy,3,0.7980770932737066
Greedy,4,0.8158019379001672
Greedy,5,0.8560432646165004
Greedy,6,0.8626027223457244
Greedy,7,0.8762167994582439
Greedy,8,0.8792554839701178
LLM-Closed,1,0.8912044794640527
LLM-Closed,2,0.9156045850618338
LLM-Closed,3,0.9303015412526703
LLM-Closed,4,0.9372266436292068
LLM-Closed,5,0.9498581051701692
LLM-Closed,6,0.951971730484836
LLM-Closed,7,0.9557604579016616
LLM-Closed,8,0.9557604579016616
LLM-Open,1,0.9603018166569122
LLM-Open,2,0.9603018166569122
LLM-Open,3,0.9603018166569122
LLM-Open,4,0.9601963376568294
LLM-Open,5,0.9601963376568294
LLM-Open,6,0.9601963376568294
LLM-Open,7,0.9601963376568294
LLM-Open,8,0.964269370146129
Random,1,0.6120234517340476
Random,2,0.7325597687042539
Random,3,0.8102105724390455
Random,4,0.8298693015968279
Random,5,0.8442303403980344
Random,6,0.8478267222008807
Random,7,0.8602843056361126
Random,8,0.8677256530274637
