pair,split,seed,entangled_bae,product_bae,entangled_two_qubit,gate_count_mismatch,param_count_preserved,diff_product_minus_entangled
0,0,0,0.11349206349206353,0.11349206349206353,7,-1,True,0.0
0,0,1,0.08492063492063495,0.0992063492063493,7,-1,True,0.014285714285714346
0,0,2,0.0992063492063493,0.0992063492063493,7,-1,True,0.0
1,0,0,0.0992063492063493,0.0992063492063493,14,-2,True,0.0
1,0,1,0.0992063492063493,0.11349206349206353,14,-2,True,0.014285714285714235
1,0,2,0.05634920634920637,0.05634920634920637,14,-2,True,0.0
2,0,0,0.0992063492063493,0.08492063492063495,19,-1,True,-0.014285714285714346
2,0,1,0.0992063492063493,0.0992063492063493,19,-1,True,0.0
2,0,2,0.08492063492063495,0.08492063492063495,19,-1,True,0.0
3,0,0,0.0992063492063493,0.0992063492063493,3,-1,True,0.0
3,0,1,0.09960317460317458,0.0992063492063493,3,-1,True,-0.0003968253968252844
3,0,2,0.0706349206349206,0.0992063492063493,3,-1,True,0.028571428571428692
4,0,0,0.09960317460317458,0.0992063492063493,11,-1,True,-0.0003968253968252844
4,0,1,0.0992063492063493,0.0992063492063493,11,-1,True,0.0
4,0,2,0.0988095238095239,0.0992063492063493,11,-1,True,0.0003968253968253954
5,0,0,0.09960317460317458,0.11349206349206353,7,-1,True,0.01388888888888895
5,0,1,0.0992063492063493,0.0706349206349206,7,-1,True,-0.028571428571428692
5,0,2,0.071031746031746,0.0992063492063493,7,-1,True,0.028174603174603297
6,0,0,0.11349206349206353,0.08492063492063495,14,-2,True,-0.02857142857142858
6,0,1,0.11349206349206353,0.0992063492063493,14,-2,True,-0.014285714285714235
6,0,2,0.0992063492063493,0.0992063492063493,14,-2,True,0.0
7,0,0,0.0992063492063493,0.0992063492063493,7,-1,True,0.0
7,0,1,0.0992063492063493,0.0992063492063493,7,-1,True,0.0
7,0,2,0.11349206349206353,0.0992063492063493,7,-1,True,-0.014285714285714235
8,0,0,0.11349206349206353,0.071031746031746,14,-2,True,-0.04246031746031753
8,0,1,0.0992063492063493,0.0992063492063493,14,-2,True,0.0
8,0,2,0.0992063492063493,0.08492063492063495,14,-2,True,-0.014285714285714346
9,0,0,0.0992063492063493,0.08531746031746035,4,0,True,-0.01388888888888895
9,0,1,0.0992063492063493,0.0992063492063493,4,0,True,0.0
9,0,2,0.08492063492063495,0.0992063492063493,4,0,True,0.014285714285714346
10,0,0,0.11349206349206353,0.11349206349206353,10,-2,True,0.0
10,0,1,0.0992063492063493,0.0992063492063493,10,-2,True,0.0
10,0,2,0.11349206349206353,0.11349206349206353,10,-2,True,0.0
11,0,0,0.0992063492063493,0.071031746031746,4,0,True,-0.028174603174603297
11,0,1,0.0992063492063493,0.08492063492063495,4,0,True,-0.014285714285714346
11,0,2,0.0992063492063493,0.0992063492063493,4,0,True,0.0
