run_id,arm,split,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_balacc_error,test_auc,test_accuracy,test_logloss,test_brier
controlled_random_split0_s0,controlled_random,0,0,25,0,1,0,24,0.02855270708357473,0.0706349206349206,0.976984126984127,0.9295774647887324,0.2337151400257839,0.06511852166031387
controlled_random_split0_s1,controlled_random,0,1,25,0,2,0,23,0.025992173334194197,0.0992063492063493,0.9738095238095238,0.9014084507042254,0.24261579730086943,0.06909935091607299
controlled_random_split0_s2,controlled_random,0,2,25,0,0,0,25,0.03709213764562431,0.0706349206349206,0.973015873015873,0.9295774647887324,0.22519435960671524,0.06433323883277116
controlled_random_split0_s3,controlled_random,0,3,25,0,1,0,24,0.034452841147067,0.08492063492063495,0.9833333333333334,0.9154929577464789,0.19923733794924733,0.05979832230918771
controlled_random_split0_s4,controlled_random,0,4,25,0,0,0,25,0.0170654071217413,0.08452380952380956,0.9753968253968254,0.9154929577464789,0.28087762166546887,0.07065511400690147
controlled_random_split0_s5,controlled_random,0,5,25,0,0,0,25,0.034936644815993095,0.0992063492063493,0.976984126984127,0.9014084507042254,0.2481399484745223,0.06653561038448912
controlled_evolutionary_split0_s0,controlled_evolutionary,0,0,25,0,5,0,20,0.03482076141213337,0.08492063492063495,0.9777777777777777,0.9154929577464789,0.22482014679565582,0.06457114526537922
controlled_evolutionary_split0_s1,controlled_evolutionary,0,1,25,0,6,0,19,0.04005875866426651,0.0992063492063493,0.9769841269841271,0.9014084507042254,0.24081516940713124,0.07001953991603933
controlled_evolutionary_split0_s2,controlled_evolutionary,0,2,25,0,3,0,22,0.03624653136799295,0.08492063492063495,0.9809523809523809,0.9154929577464789,0.21851021184669972,0.062141546956937625
controlled_evolutionary_split0_s3,controlled_evolutionary,0,3,25,0,7,0,18,0.03004466901427439,0.0706349206349206,0.9793650793650794,0.9295774647887324,0.22204487479913404,0.05907309857081902
controlled_evolutionary_split0_s4,controlled_evolutionary,0,4,25,0,6,0,19,0.03553728137309041,0.0992063492063493,0.9746031746031746,0.9014084507042254,0.25376563097978544,0.07246807873577674
controlled_evolutionary_split0_s5,controlled_evolutionary,0,5,25,0,3,0,22,0.037144089261608663,0.0992063492063493,0.9793650793650794,0.9014084507042254,0.23578146136974934,0.06761777645351559
controlled_greedy_split0_s0,controlled_greedy,0,0,25,0,0,0,25,0.03044510325718734,0.0706349206349206,0.9801587301587302,0.9295774647887324,0.20505668589621187,0.05660798382870055
controlled_greedy_split0_s1,controlled_greedy,0,1,25,0,3,0,24,0.038188051081145986,0.0706349206349206,0.980952380952381,0.9295774647887324,0.19919301412666776,0.05834994209265538
controlled_greedy_split0_s2,controlled_greedy,0,2,25,0,4,0,21,0.0286038754621223,0.0706349206349206,0.9801587301587302,0.9295774647887324,0.2107158929902258,0.060427145931487604
controlled_greedy_split0_s3,controlled_greedy,0,3,25,0,2,0,24,0.03925844152951083,0.0992063492063493,0.9817460317460318,0.9014084507042254,0.19983457388213768,0.05902795024630682
controlled_greedy_split0_s4,controlled_greedy,0,4,25,0,4,0,21,0.020822964357508855,0.08452380952380956,0.976984126984127,0.9154929577464789,0.24884920886497042,0.06826088417729831
controlled_greedy_split0_s5,controlled_greedy,0,5,25,0,4,0,22,0.025447507366171192,0.0706349206349206,0.9722222222222222,0.9295774647887324,0.2444485631800238,0.06584332209371019
controlled_random_split1_s0,controlled_random,1,0,25,0,1,0,24,0.1079785929324219,0.028174603174603186,0.9984126984126984,0.971830985915493,0.058942753071510826,0.01738550013104247
controlled_random_split1_s1,controlled_random,1,1,25,0,2,0,23,0.10126791842821997,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06449351682339238,0.0187113479691261
controlled_random_split1_s2,controlled_random,1,2,25,0,0,0,25,0.10541855270385096,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.07004009165291547,0.020466648643365642
controlled_random_split1_s3,controlled_random,1,3,25,0,1,0,24,0.09730908330389508,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06517343813907978,0.01891863867317573
controlled_random_split1_s4,controlled_random,1,4,25,0,0,0,25,0.09602942717549494,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06602332037590393,0.01858280323867814
controlled_random_split1_s5,controlled_random,1,5,25,0,0,0,25,0.09895155027864601,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.0670399347130917,0.017744522652350825
controlled_evolutionary_split1_s0,controlled_evolutionary,1,0,25,0,5,0,20,0.09317645790828608,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.07357328232697306,0.020178434045780073
controlled_evolutionary_split1_s1,controlled_evolutionary,1,1,25,0,9,0,18,0.1032668750375305,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.05979837834294291,0.01751839929183268
controlled_evolutionary_split1_s2,controlled_evolutionary,1,2,25,0,3,0,22,0.08159802984842957,0.02857142857142858,0.9984126984126984,0.971830985915493,0.07413394202535355,0.021831597591162242
controlled_evolutionary_split1_s3,controlled_evolutionary,1,3,25,0,7,0,18,0.0886561466238942,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.07735601891880191,0.019314827936090996
controlled_evolutionary_split1_s4,controlled_evolutionary,1,4,25,0,6,0,19,0.09644786072656883,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06515174186723868,0.018785632992212857
controlled_evolutionary_split1_s5,controlled_evolutionary,1,5,25,0,2,0,23,0.10283867545656145,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.07533336718686698,0.020772380637034994
controlled_greedy_split1_s0,controlled_greedy,1,0,25,0,0,0,25,0.08844199254444804,0.02857142857142858,0.9944444444444445,0.971830985915493,0.10331704833690605,0.02834477331319476
controlled_greedy_split1_s1,controlled_greedy,1,1,25,0,1,0,25,0.08371543699882004,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06681502436020775,0.01760997707241298
controlled_greedy_split1_s2,controlled_greedy,1,2,25,0,2,0,23,0.1019228720385827,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06860653768686355,0.019966452791463276
controlled_greedy_split1_s3,controlled_greedy,1,3,25,0,1,0,25,0.09157215926558449,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.06427747045576782,0.017991242637983622
controlled_greedy_split1_s4,controlled_greedy,1,4,25,0,3,0,22,0.08228169732744245,0.014285714285714235,0.9984126984126984,0.9859154929577465,0.0692680105726806,0.01856044610242036
controlled_greedy_split1_s5,controlled_greedy,1,5,25,0,4,0,22,0.09495769891590117,0.028174603174603186,0.9984126984126984,0.971830985915493,0.06139566823045009,0.018545730629839538
controlled_random_split2_s0,controlled_random,2,0,25,0,1,0,24,0.038216741271176385,0.028174603174603186,0.9976190476190476,0.971830985915493,0.0717699788543383,0.023746439031920818
controlled_random_split2_s1,controlled_random,2,1,25,0,2,0,23,0.02996151450958869,0.028174603174603186,0.9976190476190476,0.971830985915493,0.06871281622574585,0.022621312356470975
controlled_random_split2_s2,controlled_random,2,2,25,0,0,0,25,0.03208490355040651,0.028174603174603186,0.9976190476190476,0.971830985915493,0.07303093673197703,0.025377574787750535
controlled_random_split2_s3,controlled_random,2,3,25,0,1,0,24,0.03168621513000257,0.042063492063492136,0.9976190476190476,0.9577464788732394,0.07234579403014689,0.02474338697418916
controlled_random_split2_s4,controlled_random,2,4,25,0,0,0,25,0.028587609663606833,0.042063492063492136,0.9976190476190476,0.9577464788732394,0.07421538181185404,0.026102114751335167
controlled_random_split2_s5,controlled_random,2,5,25,0,0,0,25,0.02617349479014728,0.028174603174603186,0.9968253968253968,0.971830985915493,0.0659996699174504,0.02326906788614861
controlled_evolutionary_split2_s0,controlled_evolutionary,2,0,25,0,7,0,18,0.027022239161527056,0.05634920634920637,0.9968253968253968,0.9436619718309859,0.07809465495004665,0.027499897456720393
controlled_evolutionary_split2_s1,controlled_evolutionary,2,1,25,0,9,0,17,0.03860298671055611,0.028174603174603186,0.9976190476190476,0.971830985915493,0.08123955217777051,0.027256476538638552
controlled_evolutionary_split2_s2,controlled_evolutionary,2,2,25,0,2,0,23,0.02469347403452341,0.042063492063492136,0.9968253968253968,0.9577464788732394,0.06850573619389327,0.024026199208029897
controlled_evolutionary_split2_s3,controlled_evolutionary,2,3,25,0,8,0,17,0.02816627857999844,0.042063492063492136,0.9968253968253968,0.9577464788732394,0.07517612020769358,0.026645721948202535
controlled_evolutionary_split2_s4,controlled_evolutionary,2,4,25,0,8,0,17,0.03015519834441718,0.042063492063492136,0.9976190476190476,0.9577464788732394,0.07477039090434769,0.02669356775699297
controlled_evolutionary_split2_s5,controlled_evolutionary,2,5,25,0,4,0,21,0.028218524947136572,0.028174603174603186,0.9976190476190476,0.971830985915493,0.07198586772443327,0.024320563591919274
controlled_greedy_split2_s0,controlled_greedy,2,0,25,0,0,0,25,0.02147266933968402,0.042063492063492136,0.9976190476190476,0.9577464788732394,0.06568513220352847,0.02343245471109937
controlled_greedy_split2_s1,controlled_greedy,2,1,25,0,0,0,25,0.022323698505489913,0.028174603174603186,0.9984126984126984,0.971830985915493,0.05644680953774223,0.01777256182978249
controlled_greedy_split2_s2,controlled_greedy,2,2,25,0,2,0,23,0.03451015520358322,0.028174603174603186,0.9976190476190476,0.971830985915493,0.07015465432403799,0.024013922321073602
controlled_greedy_split2_s3,controlled_greedy,2,3,25,0,1,0,25,0.025571420461363785,0.028174603174603186,0.9968253968253968,0.971830985915493,0.05847487453150778,0.02033445191647198
controlled_greedy_split2_s4,controlled_greedy,2,4,25,0,2,0,23,0.03197354008374572,0.028174603174603186,0.9976190476190476,0.971830985915493,0.07287304531129361,0.02474881913942459
