split,structural_hash,depth,gate_count,two_qubit_gate_count,total_trainable_params,val_logloss,wall_clock_seconds
0,015576a6d70e,15,27,11,61,0.058589497007248546,1.4605
0,06684ed2d4e2,7,19,3,61,0.04585067931452458,1.1269
0,06fad203038f,9,22,6,61,0.05001056492184882,1.3213
0,072cc4c5404a,14,27,11,61,0.05135380919290929,1.3627
0,07b16a99f569,4,16,0,61,0.04013897089186971,1.0366
0,07b16a99f569,4,16,0,61,0.04733600444575192,1.0016
0,07b16a99f569,4,16,0,61,0.048286148403112385,1.0948
0,0829f65f5f26,13,25,9,61,0.04878184159527872,1.2887
0,08e20ad7d716,4,16,0,61,0.05772325030384678,0.9975
0,09b2eccb019d,15,24,12,61,0.06742195567538517,2.1367
0,0a0ec1d37b3a,11,20,8,61,0.04106274699188087,1.6488
0,0ace4c49ce0d,10,19,7,61,0.03717950077616222,1.3839
0,0b1c564f1310,11,23,7,61,0.05953517194861736,1.4091
0,0c18287a2413,17,26,14,61,0.05767639075239017,1.7439
0,0d0fbe56dd45,15,24,12,61,0.04371531785503339,1.4308
0,0e56b2abc334,13,22,10,61,0.0646260516767775,1.2904
0,0edee90dea52,5,20,0,61,0.051110390986562955,1.0778
0,0fab89b9ba2c,8,20,4,61,0.052098125737487476,1.189
0,106feecd14a4,7,16,4,61,0.04005678556842345,1.0929
0,1185d77d745f,9,24,4,61,0.048173931328050146,1.2679
0,119ab852ae4c,4,16,0,61,0.04439943876840873,1.0061
0,11f6f2515a34,7,16,4,61,0.04367144681861441,1.1148
0,11f6f2515a34,7,16,4,61,0.05464510541473323,1.0963
0,124425042844,14,27,11,61,0.05633474767135627,1.5246
0,12d19e69c38f,16,23,15,61,0.04351226693043913,1.5499
0,138ff358d891,9,22,6,61,0.04783388070866498,1.246
0,13e3290c60c3,8,20,4,61,0.04047034366694258,1.6014
0,14c6b972d666,14,25,13,61,0.047185775447056516,1.3739
0,1533e7d145eb,8,20,4,61,0.052541279119848655,1.1387
0,15c980eee193,12,22,10,61,0.06391148155783824,1.9911
0,16c4ff224e0a,8,23,3,61,0.040188909222303594,1.2856
0,16f87bc16973,11,23,7,61,0.05068695955006211,1.3765
0,1827a6c2cf9b,21,27,19,61,0.061924110907633584,1.4948
