condition,metric,n,median,mean,sd
QT_trainable,balanced_accuracy_error,300,0.028174603174603186,0.04805555555555556,0.06722191416643701
QF_frozen,balanced_accuracy_error,300,0.028174603174603186,0.04047354497354499,0.0348217257603653
QE_entangled,balanced_accuracy_error,300,0.028174603174603186,0.04207142857142858,0.04256002926229538
QP_product,balanced_accuracy_error,300,0.028174603174603186,0.04207804232804233,0.048993877430908654
QS_searched_best_arm,balanced_accuracy_error,30,0.028174603174603186,0.03772486772486773,0.026630652216748187
