seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Random,R1,1,explore,False,,,,0.5395637007098619,0.5346497756490278,0.5386613351646979,0.4604362992901381,0.4653502243509721,0.461338664835302
0,Random,R2,2,explore,False,,,,0.1640394020094431,0.1157258760968623,0.1441497576984146,0.8359605979905569,0.8842741239031376,0.8558502423015854
0,Random,R3,3,explore,False,,,,0.2292128730253022,0.166148679097041,0.1961947693035253,0.7707871269746978,0.833851320902959,0.8038052306964747
0,Random,R4,4,explore,False,,,,0.2986612265377615,0.3436956139052705,0.3332055603364311,0.7013387734622385,0.6563043860947295,0.6667944396635689
0,Random,R5,5,explore,False,,,,0.3120777478505625,0.3731997316655214,0.3605670584445138,0.6879222521494375,0.6268002683344785,0.6394329415554861
0,Random,R6,6,explore,False,,,,0.5078950138815664,0.504739575249094,0.5081774646711753,0.4921049861184335,0.495260424750906,0.4918225353288247
0,Random,R7,7,explore,False,,,,0.0262553858530227,0.0179619582150029,0.0282300404132702,0.9737446141469772,0.9820380417849972,0.9717699595867296
0,Random,R8,8,explore,False,,,,0.5138273757060677,0.5086732132664449,0.5141710734305327,0.4861726242939322,0.4913267867335552,0.4858289265694673
0,Greedy,G1_warm,1,explore,False,,,,0.164477156084101,0.116433437894115,0.1447755410908108,0.8355228439158989,0.8835665621058849,0.8552244589091892
0,Greedy,G2_warm,2,explore,False,,,,0.5302225255608903,0.5182511913863037,0.5310484352748026,0.4697774744391096,0.4817488086136962,0.4689515647251974
0,Greedy,G3_warm,3,explore,False,,,,0.1786139140179189,0.1348412319593229,0.1590871941438184,0.8213860859820811,0.865158768040677,0.8409128058561816
0,Greedy,G4_warm,4,explore,False,,,,0.2406885269574114,0.1843776519664892,0.2090567674716246,0.7593114730425886,0.8156223480335107,0.7909432325283754
0,Greedy,G5_rej,5,refine,False,,0.0625,,0.2202167683648781,0.1598983122530463,0.1890103188325411,0.7797832316351219,0.8401016877469537,0.8109896811674588
0,Greedy,G6_rej,6,refine,False,,0.125,,0.168884356700816,0.1181471646402819,0.1480166989159926,0.831115643299184,0.881852835359718,0.8519833010840073
0,Greedy,G7_acc,7,refine,False,,0.125,,0.1652588743726289,0.1144892667834817,0.1434522326238221,0.834741125627371,0.8855107332165183,0.8565477673761779
0,Greedy,G8_rej,8,refine,False,,0.0625,,0.3547307236811698,0.3480591455434629,0.3617110804453385,0.6452692763188301,0.651940854456537,0.6382889195546615
0,LLM-Open,nn-real-push,1,explore,False,,,,0.1498678446568562,0.1053548628625961,0.1326248211992431,0.8501321553431438,0.8946451371374039,0.8673751788007569
0,LLM-Open,left-to-right,2,explore,False,,,,0.1242087652746763,0.0880679688231875,0.1072280958316058,0.8757912347253236,0.9119320311768124,0.8927719041683941
0,LLM-Open,right-to-left,3,explore,False,,,,0.0790163849285768,0.066684327862713,0.083015482331192,0.9209836150714232,0.933315672137287,0.916984517668808
0,LLM-Open,center-out,4,explore,False,,,,0.2192238417219497,0.1590906257031172,0.1881983298865079,0.7807761582780502,0.8409093742968827,0.811801670113492
0,LLM-Open,latent-collector,5,explore,False,,,,0.0544487659848405,0.038442498246399,0.0590765590858142,0.9455512340151596,0.961557501753601,0.9409234409141858
0,LLM-Open,alternating-chain,6,explore,False,,,,0.1209050717461556,0.0768298561744811,0.1083535686161587,0.8790949282538444,0.9231701438255188,0.8916464313838413
