seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G7_acc,7,refine,False,,0.125,,0.1652588743726289,0.1144892667834817,0.1434522326238221,0.834741125627371,0.8855107332165183,0.8565477673761779
0,LLM-Closed,nn-real-split-v1,5,refine,False,,0.75,topology_redesign,0.0408701141618486,0.0277706999217421,0.042758356578846,0.9591298858381514,0.9722293000782578,0.957241643421154
0,LLM-Open,nn-chain-real,8,explore,False,,,,0.0331561752585964,0.022465467379687,0.0340175642072202,0.9668438247414036,0.977534532620313,0.9659824357927798
0,Random,R7,7,explore,False,,,,0.0262553858530227,0.0179619582150029,0.0282300404132702,0.9737446141469772,0.9820380417849972,0.9717699595867296
1,Greedy,G1_warm,1,explore,False,,0.125,,0.1103958726493758,0.0887335021220711,0.1070575268089408,0.8896041273506241,0.9112664978779288,0.8929424731910591
1,LLM-Closed,mirror-rz-ry-chain,2,explore,False,,0.6875,topology_redesign,0.0288877095197814,0.0356311828131357,0.0290376571247146,0.9711122904802184,0.9643688171868644,0.9709623428752854
1,LLM-Open,nn-chain-real,8,explore,False,,,,0.0383096384790943,0.0398438178239737,0.0378010222993085,0.9616903615209056,0.9601561821760264,0.9621989777006914
1,Random,R2,2,explore,False,,,,0.0902971935115541,0.0870454455839754,0.088842767403801,0.9097028064884458,0.9129545544160246,0.911157232596199
2,Greedy,G7_acc,7,refine,False,,0.0625,,0.0935905574482678,0.167436172146551,0.1213660876795079,0.9064094425517322,0.832563827853449,0.878633912320492
2,LLM-Closed,nn-real-latent-sink,6,refine,False,invalid: gates must be a list of exactly 16 entries,0.6875,global_redesign,0.0199091819761045,0.0417828723978103,0.0297650312160411,0.9800908180238954,0.9582171276021896,0.9702349687839588
2,LLM-Open,nn-chain-real,8,explore,False,,,,0.0293652903001666,0.0722224063794966,0.0465452556220847,0.9706347096998332,0.9277775936205034,0.9534547443779152
2,Random,R1,1,explore,False,,,,0.0575925409279265,0.1052861738034307,0.0776055805164963,0.9424074590720736,0.8947138261965693,0.9223944194835036
3,Greedy,G6_acc,6,refine,False,,0.125,,0.0404332860365379,0.0502285628099677,0.0445021764965305,0.959566713963462,0.9497714371900322,0.9554978235034696
3,LLM-Closed,nn-real-latent-trash,6,refine,False,,0.0625,topology_redesign,0.0147319863870982,0.0290621372249101,0.0224974910188755,0.9852680136129016,0.97093786277509,0.9775025089811245
