seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G8_acc,8,refine,False,,0.03125,,0.504397282535279,0.45150156363007266,0.481805107900551,0.49560271746472095,0.5484984363699273,0.518194892099449
0,LLM-Closed,latent-sink-mixed,2,explore,False,,0.4375,,0.20702574576294996,0.14141266809564768,0.1794167486803424,0.79297425423705,0.8585873319043523,0.8205832513196576
0,LLM-Open,edge-to-core,5,explore,False,,,,0.12128040230241566,0.09253984349364452,0.12277203346857668,0.8787195976975843,0.9074601565063555,0.8772279665314233
0,Random,R4,4,explore,False,,,,0.40329959435397134,0.30154146521201375,0.33592013502694296,0.5967004056460287,0.6984585347879863,0.664079864973057
1,Greedy,G8_acc,8,refine,False,,0.03125,,0.5006609160063715,0.547157323272008,0.5074651890336166,0.4993390839936284,0.4528426767279921,0.49253481096638335
1,LLM-Closed,nn-chain-split-ry,7,refine,False,,0.375,topology_redesign,0.12771369681324896,0.11716181158042982,0.1277852804551094,0.872286303186751,0.8828381884195702,0.8722147195448906
1,LLM-Open,edge-to-core,5,explore,False,,,,0.11960436322430468,0.11335396825442612,0.12094105876822203,0.8803956367756953,0.8866460317455739,0.879058941231778
1,Random,R6,6,explore,False,,,,0.36999619202801526,0.26517010425376064,0.3578231743016699,0.6300038079719847,0.7348298957462394,0.6421768256983301
2,Greedy,G5_acc,5,refine,False,,0.03125,,0.345218272748543,0.4973043994584013,0.38992457416832305,0.654781727251457,0.5026956005415987,0.610075425831677
2,LLM-Closed,staggered-ladder-real,3,explore,False,,0.65625,,0.4533660440440618,0.3226894964475364,0.4221394580689892,0.5466339559559382,0.6773105035524636,0.5778605419310108
2,LLM-Open,edge-to-core,5,explore,False,,,,0.09217583766980242,0.18095042451866739,0.12596547282655968,0.9078241623301976,0.8190495754813326,0.8740345271734403
2,Random,R1,1,explore,False,,,,0.33916698765423536,0.5137115552415816,0.38810609456479184,0.6608330123457646,0.4862884447584184,0.6118939054352082
3,Greedy,G8_acc,8,refine,False,,0.0625,,0.6387363984416004,0.6239766881916649,0.6365650563228972,0.3612636015583997,0.3760233118083352,0.36343494367710283
3,LLM-Closed,nn-real-chain-v2,8,refine,False,,0.9375,topology_redesign,0.24304178271699595,0.3412132243970817,0.2726359342636966,0.756958217283004,0.6587867756029183,0.7273640657363034
3,LLM-Open,edge-to-core,5,explore,False,,,,0.09769848550480975,0.16454205017054002,0.12274947770399591,0.9023015144951902,0.83545794982946,0.8772505222960041
3,Random,R3,3,explore,False,,,,0.38699167761346165,0.46097970971106295,0.4039045761087383,0.6130083223865384,0.539020290288937,0.5960954238912617
4,Greedy,G6_acc,6,refine,False,,0.0625,,0.5037896434018827,0.5230763766618594,0.5151161134871436,0.49621035659811724,0.4769236233381407,0.4848838865128564
4,LLM-Closed,nn-bridge-ryrz,5,refine,False,,0.375,topology_redesign,0.11816958240135489,0.12995340958674895,0.13406719363078745,0.8818304175986451,0.870046590413251,0.8659328063692125
4,LLM-Open,edge-to-core,5,explore,False,,,,0.10117486467386905,0.11490276842287594,0.12103969370503986,0.898825135326131,0.885097231577124,0.8789603062949601
