seed,method,candidate,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,LLM-semantic,L2_pair_then_funnel,0.028982059941364824,0.02023601191523372,0.03305801366283989,0.9710179400586352,0.9797639880847663,0.9669419863371601
0,RY-random,R1,0.04681940327835887,0.03896237975626604,0.05620724451771808,0.9531805967216411,0.961037620243734,0.9437927554822819
0,Random,R3,0.08494782637345133,0.06367327386995736,0.08372729715118576,0.9150521736265487,0.9363267261300426,0.9162727028488142
1,LLM-semantic,L2_pair_then_funnel,0.031099754118480316,0.03795760399617387,0.031245828015977972,0.9689002458815197,0.9620423960038261,0.968754171984022
1,RY-random,R8,0.02892492513993916,0.0373414462323175,0.029277224139315217,0.9710750748600608,0.9626585537676825,0.9707227758606848
1,Random,R7,0.11220556408759741,0.09032692837866596,0.10884692311538258,0.8877944359124026,0.909673071621334,0.8911530768846174
2,LLM-semantic,L2_pair_then_funnel,0.02151079180928961,0.054622664789959585,0.03587694407041253,0.9784892081907104,0.9453773352100404,0.9641230559295875
2,RY-random,R8,0.025431753725619455,0.05202567221001664,0.03666405944825035,0.9745682462743805,0.9479743277899834,0.9633359405517496
2,Random,R8,0.026144082975608995,0.06230895344741738,0.04229806292037663,0.973855917024391,0.9376910465525826,0.9577019370796234
3,LLM-semantic,L4_latent_targets,0.02485375183294103,0.0511183697119969,0.03748635529304911,0.975146248167059,0.9488816302880031,0.9625136447069509
3,RY-random,R8,0.03508188029975723,0.07026345603119877,0.05160460850775739,0.9649181197002428,0.9297365439688012,0.9483953914922426
3,Random,R1,0.08220144057977263,0.126133542136182,0.10127409014893707,0.9177985594202274,0.873866457863818,0.8987259098510629
4,LLM-semantic,L2_pair_then_funnel,0.02470656170999974,0.030291060288096694,0.0322487090531729,0.9752934382900003,0.9697089397119033,0.9677512909468271
4,RY-random,R4,0.0579502081591432,0.06223404651425424,0.0632227520237727,0.9420497918408568,0.9377659534857458,0.9367772479762273
4,Random,R7,0.022874777177288363,0.02543090451855423,0.028290217471537815,0.9771252228227116,0.9745690954814458,0.9717097825284622
5,LLM-semantic,L2_pair_then_funnel,0.037890571159752584,0.03255274776797201,0.030264673768339634,0.9621094288402474,0.967447252232028,0.9697353262316604
5,RY-random,R7,0.05462995614748911,0.049022569518827885,0.04662653035757569,0.9453700438525109,0.9509774304811721,0.9533734696424243
5,Random,R7,0.18734640031168115,0.17074381849792986,0.15391542879540387,0.8126535996883189,0.8292561815020701,0.8460845712045961
6,LLM-semantic,L2_pair_then_funnel,0.02787574622026523,0.01697524861525801,0.03204079652836622,0.9721242537797348,0.983024751384742,0.9679592034716338
6,RY-random,R8,0.06804794526829361,0.028823495468438654,0.07693893252117634,0.9319520547317064,0.9711765045315613,0.9230610674788237
6,Random,R8,0.07301289582174819,0.04385154482771847,0.07869051373004088,0.9269871041782518,0.9561484551722815,0.9213094862699591
7,LLM-semantic,L2_pair_then_funnel,0.034636511459441244,0.0377565679816243,0.030041889562724244,0.9653634885405588,0.9622434320183757,0.9699581104372758
7,RY-random,R7,0.05032125036379442,0.05319620059041741,0.04308812677165896,0.9496787496362056,0.9468037994095826,0.956911873228341
7,Random,R3,0.12622928385254195,0.11536501069349114,0.10824379654824101,0.873770716147458,0.8846349893065089,0.891756203451759
8,LLM-semantic,L2_pair_then_funnel,0.022821152038074777,0.02561995119235594,0.036313562374293396,0.9771788479619252,0.9743800488076441,0.9636864376257066
8,RY-random,R6,0.036625717638805844,0.04073747975585296,0.05477717359528467,0.9633742823611942,0.959262520244147,0.9452228264047153
8,Random,R3,0.05810429854589905,0.060504394595825794,0.08341446002082131,0.941895701454101,0.9394956054041742,0.9165855399791787
9,LLM-semantic,L2_pair_then_funnel,0.031084356060339102,0.027935746377028003,0.028751906472076927,0.9689156439396609,0.972064253622972,0.9712480935279231
9,RY-random,R4,0.031184916150359232,0.027699864314416955,0.029449522049234678,0.9688150838496408,0.972300135685583,0.9705504779507653
9,Random,R7,0.08218131179108501,0.08248567225274817,0.0794132261730669,0.917818688208915,0.9175143277472518,0.9205867738269331
10,LLM-semantic,L2_pair_then_funnel,0.03919947341102403,0.03537655909948978,0.02902136951498857,0.960800526588976,0.9646234409005102,0.9709786304850114
10,RY-random,R8,0.07856716560917187,0.07448113149217328,0.0647620966040221,0.9214328343908281,0.9255188685078267,0.9352379033959779
10,Random,R7,0.09453102305713346,0.09107335871197153,0.08332879442941366,0.9054689769428665,0.9089266412880285,0.9166712055705863
11,LLM-semantic,L2_pair_then_funnel,0.031177867785285196,0.01652414565326643,0.03216139017828901,0.9688221322147148,0.9834758543467336,0.967838609821711
11,RY-random,R4,0.07855802367856035,0.03631018123020813,0.07897634551389321,0.9214419763214396,0.9636898187697919,0.9210236544861068
11,Random,R4,0.0304475859632507,0.019834747847963796,0.031196989002708397,0.9695524140367493,0.9801652521520362,0.9688030109972916
