method,n,mean_test_fidelity,median_test_fidelity,sd_test_fidelity,mean_val_fidelity
Random,12,0.9181133500410738,0.9166283727748825,0.03569948297066466,0.9206889875184645
RY-random,12,0.947367115329195,0.9468091089484789,0.016590231504022966,0.9524085064071343
LLM-semantic,12,0.9676240467921224,0.9678989066466723,0.0028617725068154124,0.9677527768842954
